numero_controle_pncp,srp,objeto_compra,codigo_modalidade,nome_modalidade,compra_judicial
80673411000187-1-000077/2026,False,"Registro de preços para futura e eventual  aquisição de medicamentos,  por Dispensa de   Licitação,   para   atendimento   da   demanda   de   ordens   judiciais  da   Gerência   de   Bens Judiciais – GEJUD.",8,Dispensa,True
08778268000160-1-000223/2026,False,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO(S) PARA ATENDER A DETERMINAÇÃO JUDICIAL,8,Dispensa,True
46195079000154-1-000205/2026,False,"AQUISIÇÃO DE 90 (NOVENTA) ADESIVOS DE RIVASTIGMINA - EXELON PATCH 5 - 4,6 MG/24 HS (ATENDIMENTO DE ORDEM JUDICIAL)",8,Dispensa,True
46195079000154-1-000199/2026,False,1. MEDICAMENTOS PARA O CUMPRIMENTO DE DECISÃO JUDICIAL –  DIVALPROATO DE SÓDIO 250MG – 90COMPRIMIDOS.,8,Dispensa,True
45122603000102-1-000191/2026,False,DISPENSA GERADA ATRAVÉS DA REQUISIÇÃO DE SOLICITAÇÃO: 3008-26. AQUISIÇÃO DE MEDICAMENTOS PARA ATENDIMENTO DE DEMANDA JUDICIAL,8,Dispensa,True
04104816000116-1-000073/2026,True,"Registro de Preço para Eventual e Futura Aquisição de Medicamentos, por Dispensa de Licitação fundamentada no art. 75, inciso III, da Lei nº 14.133/2021, destinado ao atendimento de pacientes oriundos de mandados judiciais, em substituição aos itens fracassados/desertos da ARP nº 099/SML/2025/14.133-2021 (PE nº 90115/2025/PREGAO/SML/PMA-GSRP, Processo nº 18115/SEMSAU/2025), visando atender as necessidades da Secretaria Municipal de Saúde de Ariquemes por um período de 12 (doze) meses.",8,Dispensa,True
44428506000171-1-001487/2025,False,MANDADO JUDICIAL,8,Dispensa,True
00508903000188-1-000524/2026,False,"Fornecimento contínuo, sob demanda, de papel higiênico, papel toalha, sabonete líquido e álcool gel 70% para atender as
necessidades da Justiça Federal – Subseção Judiciária de Cruzeiro do Sul-AC, nos termos da tabela abaixo, conforme condições e
exigências estabelecidas no TR.
",8,Dispensa,True
05816630000152-1-002411/2026,False,AQUISIÇÃO PARA DETERMINAÇÃO JUDICIAL,8,Dispensa,True
88572748000100-1-000124/2026,False,Aquisicao de medicamentos JUDICIAL 70  30  conforme processo n  5001696 36.2024.8.21.0114 de D. de G.,8,Dispensa,True
01814099000128-1-000102/2026,False,"O VALOR EMPENHADO SE REFERE A  CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO DE MEDICAMENTOS EM CUMPRIMENTO A  ORDEM JUDICIAL PROCESSO Nº 5750439-79.2025.8.09.006 CONFORME CONSTA NO PROCESSO Nº 2026010542, ATENDENDO AS NECESSIDADES DO BLOCO DE ATENÇÃO FARMACEUTICA.",8,Dispensa,True
05816630000152-1-002435/2026,False,Aquisição para determinação judicial,8,Dispensa,True
45739083000173-1-000363/2026,False,AQUISIÇÃO DE MEDICAMENTO PARA USO DO PACIENTE VIA MANDADO JUDICIAL,8,Dispensa,True
03517102000177-1-000029/2026,False,CDS/SRI/SES - AQUISIÇÃO DE MEDICAMENTO IMPORTADO PARA ATENDER AÇÃO JUDICIAL CONTINUIDADE DE TRATAMENTO,8,Dispensa,True
46177531000155-1-000095/2026,False,AQUISICAO DE MEDICAMENTOS PARA ATENDER DETERMINACAO JUDICIAL,8,Dispensa,True
12440744000106-1-000064/2026,False,Medicamento judicial,8,Dispensa,True
03517102000177-1-000034/2026,False,"CDS/SRI/SES-AQUISIÇÃO DE MEDICAMENTOS PARA ATENDER AÇÃO JUDICIAL
ESPÉCIE DOCUMENTAL - 4131",8,Dispensa,True
29172467000109-1-000281/2026,False,Aquisição de medicamento a fim de cumprir mandado judicial n° 0808529-24.2024.8.19.0003 da paciente ANA CLARA DIAS DA SILVA.,8,Dispensa,True
04384829000196-1-000171/2026,False,"AQUISIÇÃO DO MEDICMENTO MINILAX (SORBITOL+LAURILSULFATO DE SÓDIO 714 MG/G+7,70 MG/G) EM ATENDIMENTO À DEMANDA JUDICIAL EM FAVOR DO PACIENTE ALISSON BISPO DOS SANTOS, CONFORME ESPECIFICAÇÕES CONSTANTES NA DOCUMENTAÇÃO ANEXA",8,Dispensa,True
57252971000146-1-000042/2026,False,AQUISIÇÃO DE MEDICAMENTO PARA ATENDER PACIENTE INICIAL DE DEMANDA JUDICIAL.,8,Dispensa,True
10565436000181-1-000006/2026,False,"DISPENSA EMERGENCIAL PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA MANIPULAÇÃO E FORNECIMENTO DE MEDICAMENTOS, DESTINADOS AO CUMPRIMENTO DE DETERMINAÇÕES JUDICIAIS NO ÂMBITO DO SISTEMA ÚNICO DE SAÚDE (SUS), VISANDO GARANTIR A CONTINUIDADE DOS TRATAMENTOS E EVITAR RISCO À SAÚDE DOS PACIENTES.",8,Dispensa,True
09472725000157-1-000002/2026,False,AQ. DE MAT. FARMACOLÓGICO JUDICIAL/CEMA,8,Dispensa,True
13988308000139-1-000030/2026,True,"Aquisição de medicamentos para atender ordens judiciais impostas ao Município de Senhor do Bonfim-BA, mediante ações judiciais individuais de cidadãos deste município.",8,Dispensa,True
04384829000196-1-000121/2026,False,"FORNECIMENTO DOS MEDICAMENTOS DORZOLAMIDA 20 MG/ML E LATANOPROSTA 50 MCG/ML, PARA CUMPRIMENTO DE DECISÃO JUDICIAL, EM FAVOR DO PACIENTE JOSÉ LINS DO NASCIMENTOS, CONFORME TERMO DE REFERÊNCIA E DEMAIS DOCUMENTOS ANEXOS.",8,Dispensa,True
04384829000196-1-000120/2026,False,"AQUISIÇÃO DO MEDICAMENTO SECUQUINUMABE 150MG/ML, PARA ATENDER DEMANDA JUDICIAL, ESPECIFICAMENTE CONFORME DOCUMENTOS ANEXOS.",8,Dispensa,True
46578498000175-1-000097/2026,False,Aquisição de medicamentos a fim de atender determinação judicial pelo período de 12 meses.,8,Dispensa,True
46634564000187-1-000325/2026,False,AQUISIÇÃO DE MEDICAMENTO JUDICIAL,8,Dispensa,True
39215827000158-1-000001/2026,False,A AQUISICAO DE MEDICAMENTOS  A FIM DE ATENDER AO INFANTE P. L. C. G.  REPRESENTADO POR SUA GENITORA DAYANA PRISCILA CAMPOS GENUINO  ORIUNDA DO PROCESSO JUDICIAL N  0803269 28.2023.8.19.0026.,8,Dispensa,True
10465644000109-1-000043/2026,False,SOLICITAÇÃO DE AQUISIÇÃO DE MEDICAMENTOS POR ORDEM JUDICIAL PARA A PACIENTE MARIA JOSÉ RIBEIRO.,8,Dispensa,True
57252971000146-1-000149/2025,False,Aquisição de medicamento para atender as demandas judiciais,8,Dispensa,True
48344014000159-1-000061/2026,False,AQUISIÇÃO DE MEDICAMENTOS MANIPULADOS PARA ATENDER ORDENS JUDICIAIS,8,Dispensa,True
45301652000102-1-000279/2026,False,FORNECIMENTO DE MEDICAÇÃO DE ORDEM JUDICIAL - TRAZODONA 50MG,8,Dispensa,True
03517102000177-1-000036/2026,False,"CDS/SRI/SES-AQUISIÇÃO DE MEDICAMENTOS PARA ATENDER AÇÃO JUDICIAL
ESPÉCIE DOCUMENTAL - 4131",8,Dispensa,True
46694139000183-1-000252/2026,False,"AQUISIÇÃO DE MEDICAMENTOS MEMO 22, PARA ATENDER DEMANDA JUDICIAL, PACIENTES:

VALTER ALEXANDRE ROBERTO - PROCESSO Nº 10030684520178260292
WESLEI DE LIMA SANTOS - PROCESSO Nº 100214179201782260292
EVERTON EDNALDO DA CRUZ ? PROCESSO Nº 10066184820178260292",8,Dispensa,True
