marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
TAVAGRAN,TAVAGRAN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,6,nao
TAVNEOS,TAVNEOS,Novo,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,1,nao
TAVOK,TAVOK,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
TAXILAN,TAXILAN,Similar,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,2,nao
TAXOFEN,TAXOFEN,Similar,BLAU FARMACEUTICA S.A.,3,nao
TAXOL,TAXOL,Novo,BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA,3,nao
TAXONTAS,TAXONTAS,Similar,ACCORD FARMACÊUTICA LTDA,3,nao
TAXOTERE,TAXOTERE,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
TAXXONEX,TAXXONEX,Similar,BLAU FARMACEUTICA S.A.,6,nao
TAZOCIN,TAZOCIN,Novo,PFIZER BRASIL LTDA,2,nao
TAZOMAZ,TAZOMAZ,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
TD FILA,TD FILA,Similar,1FARMA INDUSTRIA FARMACEUTICA LTDA,34,nao
TEARFILM,TEARFILM,Específico,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,3,nao
TEBONIN,TEBONIN,Fitoterápico,HERBARIUM LABORATORIO BOTANICO LTDA,4,nao
TECARTUS,TECARTUS,Produto de Terapia Avançada,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,2,nao
TECENTRIQ,TECENTRIQ,Biológico,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,3,nao
TECFIDERA,TECFIDERA,Novo,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,2,nao
TECNOMET,TECNOMET,Similar,ADIUM S.A.,1,nao
TECPLAS,TECPLAS,Biológico,INSTITUTO DE TECNOLOGIA DO PARANA,4,nao
TECTA,TECTA,Novo,TAKEDA PHARMA LTDA.,3,nao
TECVAYLI,TECVAYLI,Biológico,JANSSEN-CILAG FARMACEUTICA LTDA,2,nao
TEDEAGA,TEDEAGA,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,5,nao
TEDHOL,TEDHOL,Similar,BLAU FARMACEUTICA S.A.,4,nao
TEDHOL CÁPSULAS,TEDHOL CAPSULAS,Similar,BLAU FARMACEUTICA S.A.,8,nao
TEFLAN,TEFLAN,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,3,nao
TEFLUT,TEFLUT,Similar,BLAU FARMACEUTICA S.A.,1,nao
TEGRETARD,TEGRETARD,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,4,nao
TEGRETOL,TEGRETOL,Novo,NOVARTIS BIOCIENCIAS S.A,8,nao
TEGREZIN,TEGREZIN,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,2,nao
TEGSEDI,TEGSEDI,Novo,PTC FARMACEUTICA DO BRASIL LTDA.,1,nao
TEICOSTON,TEICOSTON,Similar,BLAU FARMACEUTICA S.A.,12,nao
TEIPLAN,TEIPLAN,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
TEKZOR,TEKZOR,Similar,GERMED FARMACEUTICA LTDA,1,nao
TELD HCT,TELD HCT,Similar,TORRENT DO BRASIL LTDA,5,nao
TELOL,TELOL,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
TEMBLAR,TEMBLAR,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
TEMODAL,TEMODAL,Novo,MERCK SHARP & DOHME FARMACEUTICA LTDA.,7,nao
TEMOLIDA,TEMOLIDA,Similar,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,2,nao
TEMOLIDA CÁPSULAS,TEMOLIDA CAPSULAS,Similar,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,10,nao
TEMOZOD,TEMOZOD,Similar,SUN FARMACÊUTICA DO BRASIL LTDA,5,nao
TÊMPORA,TEMPORA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,4,nao
TENADREN,TENADREN,Novo | Similar,EMS SIGMA PHARMA LTDA,4,nao
TENAG,TENAG,Fitoterápico,MARJAN INDÚSTRIA E COMÉRCIO LTDA,1,nao
TENAVIT,TENAVIT,Específico,MARJAN INDÚSTRIA E COMÉRCIO LTDA,1,nao
TENOFTAL,TENOFTAL,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
