marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
A SAÚDE DA MULHER,A SAUDE DA MULHER,Novo,EMS S/A,1,nao
AAS,AAS,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. | SANOFI MEDLEY FARMACÊUTICA LTDA.,6,nao
AAS PROTECT,AAS PROTECT,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. | SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
ABC,ABC,Similar,KLEY HERTZ FARMACEUTICA S.A,2,nao
ABCLER ABNAT,ABCLER ABNAT,Específico,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,1,nao
ABELCET,ABELCET,Novo,TEVA FARMACÊUTICA LTDA.,1,nao
ABERALGINA,ABERALGINA,Similar,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,4,nao
ABEVMY,ABEVMY,Biológico,BIOCON BIOLOGICS DO BRASIL LTDA,2,nao
ABLOK,ABLOK,Similar,BIOLAB SANUS FARMACEUTICA LTDA,3,nao
ABLOK PLUS,ABLOK PLUS,Similar,BIOLAB SANUS FARMACEUTICA LTDA,7,nao
ABMETHA,ABMETHA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
ABRAXANE,ABRAXANE,Novo,UNITED MEDICAL LTDA,1,nao
ABRETIA,ABRETIA,Similar,FARMOQUÍMICA S/A,2,nao
ABRIFIT,ABRIFIT,Fitoterápico,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
ABRILAR,ABRILAR,Fitoterápico,FARMOQUÍMICA S/A,3,nao
ABRYSVO,ABRYSVO,Biológico,PFIZER BRASIL LTDA,4,nao
ACECLO-GRAN,ACECLO GRAN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
ACEFLOR,ACEFLOR,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,8,nao
ACERATUM,ACERATUM,Similar,CELLERA FARMACEUTICA S.A.,1,nao
ACERTALIX,ACERTALIX,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,4,nao
ACERTANLO,ACERTANLO,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,6,nao
ACERTIL,ACERTIL,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,6,nao
ACESYL,ACESYL,Específico,VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA,2,nao
ACETATO DE SÓDIO,ACETATO DE SODIO,Específico,VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA,4,nao
"ACETATO DE ZINCO 0,5 MEQ/ML",ACETATO DE ZINCO 0 5 MEQ ML,Específico,VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA,1,nao
ACETICIL,ACETICIL,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,2,nao
ACEZO,ACEZO,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
ACFOL,ACFOL,Específico,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,3,nao
ACHEFLAN,ACHEFLAN,Fitoterápico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
ACICLOR,ACICLOR,Similar,KLEY HERTZ FARMACEUTICA S.A,1,nao
ÁCIDO ASCÓRBICO HYPOFARMA,ACIDO ASCORBICO HYPOFARMA,Específico,HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA,1,nao
ACIVIRAX,ACIVIRAX,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
ACLASTA,ACLASTA,Novo,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,1,nao
ACNASE,ACNASE,Similar,BIOLAB SANUS FARMACEUTICA LTDA,1,nao
ACNOVA,ACNOVA,Similar,GERMED FARMACEUTICA LTDA,2,nao
ACOG,ACOG,Similar,TORRENT DO BRASIL LTDA,6,nao
ACSISA,ACSISA,Similar,PRATI DONADUZZI & CIA LTDA,1,nao
ACTEMRA,ACTEMRA,Biológico,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,4,nao
ACTFIO,ACTFIO,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,2,nao
ACTIFEDRIN,ACTIFEDRIN,Novo,FARMOQUÍMICA S/A,2,nao
ACTILYSE,ACTILYSE,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,3,nao
ACTIVE PLUS,ACTIVE PLUS,Fitoterápico,MAKROFARMA QUIMICA FARMACEUTICA LTDA,2,nao
ACTONEL,ACTONEL,Novo,FARMA VISION IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA | THERAMEX FARMACEUTICA LTDA.,4,nao
ACU FRESH,ACU FRESH,Específico,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
ACU FRESH G,ACU FRESH G,Específico,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
ACULAR,ACULAR,Novo,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,3,nao
AD FURP,AD FURP,Específico,FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP,2,nao
AD-MUC,AD MUC,Fitoterápico,BIOLAB SANUS FARMACEUTICA LTDA,1,nao
AD SORO,AD SORO,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
AD-TIL,AD TIL,Específico,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. | TAKEDA PHARMA LTDA.,3,nao
AD-VITAM,AD VITAM,Específico,NATULAB LABORATORIO S.A,2,nao
ADACEL,ADACEL,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
ADACNE,ADACNE,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
ADACNE CLIN,ADACNE CLIN,Novo,GLENMARK FARMACÊUTICA LTDA,1,nao
ADACNE PEROX,ADACNE PEROX,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
ADAZO,ADAZO,Similar,LIBBS FARMACÊUTICA LTDA,4,nao
ADCETRIS,ADCETRIS,Biológico,TAKEDA PHARMA LTDA.,1,nao
ADDAVEN,ADDAVEN,Específico,FRESENIUS KABI BRASIL LTDA,1,nao
ADDERA D3,ADDERA D3,Específico,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,28,nao
ADEFORTE,ADEFORTE,Específico,LABORATÓRIO GROSS S. A.,3,nao
ADEMPAS®,ADEMPAS,Novo,BAYER S.A.,5,nao
ADILOZ,ADILOZ,Similar,EMS S/A,1,nao
ADINOS,ADINOS,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
ADINOS GEN,ADINOS GEN,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
ADIPEPT,ADIPEPT,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,8,nao
ADLYV,ADLYV,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,2,nao
ADOLESS,ADOLESS,Similar,FARMOQUÍMICA S/A,2,nao
ADORLAN,ADORLAN,Novo,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,4,nao
ADREN,ADREN,Similar,HIPOLABOR FARMACEUTICA LTDA,1,nao
ADREN PED,ADREN PED,Novo,HIPOLABOR FARMACEUTICA LTDA,1,nao
ADVANTAN,ADVANTAN,Novo,LEO PHARMA LTDA,3,nao
ADVATE,ADVATE,Biológico,TAKEDA PHARMA LTDA.,4,nao
ADVIL,ADVIL,Similar,GLAXOSMITHKLINE BRASIL LTDA | PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,18,nao
ADVIL 12H,ADVIL 12H,Novo,GLAXOSMITHKLINE BRASIL LTDA | PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,6,nao
ADVIPRO,ADVIPRO,Similar,PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,3,nao
ADZYNMA,ADZYNMA,Biológico,TAKEDA PHARMA LTDA.,2,nao
AERODINI,AERODINI,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
AEROFRIN,AEROFRIN,Similar,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,1,nao
AEROGOLD,AEROGOLD,Similar,GLENMARK FARMACÊUTICA LTDA,2,nao
AEROLIN,AEROLIN,Novo,GLAXOSMITHKLINE BRASIL LTDA,2,nao
AFAX,AFAX,Similar,PRATI DONADUZZI & CIA LTDA,6,nao
AFECSO,AFECSO,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,2,nao
AFETUS,AFETUS,Similar,EUROFARMA LABORATORIOS S.A.,7,nao
AFINITOR,AFINITOR,Novo,NOVARTIS BIOCIENCIAS S.A,3,nao
AFLUV,AFLUV,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
AFOLIC,AFOLIC,Específico,NATULAB LABORATORIO S.A,2,nao
AFOLIC INFANTIL,AFOLIC INFANTIL,Específico,NATULAB LABORATORIO S.A,1,nao
AFOPIC,AFOPIC,Específico,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
AFRAT,AFRAT,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
AFREZZA,AFREZZA,Biológico,BIOMM SA,6,nao
AFSTYLA,AFSTYLA,Biológico,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,5,nao
AFTINE,AFTINE,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
AGATHA,AGATHA,Similar,PFIZER BRASIL LTDA,3,nao
AGIIGRIP DUO,AGIIGRIP DUO,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,3,nao
AGIIXPEC,AGIIXPEC,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,2,nao
AGIOLAX,AGIOLAX,Fitoterápico,VIATRIS FARMACEUTICA DO BRASIL LTDA,2,nao
AGLITIL,AGLITIL,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,8,nao
AGLUCOSE,AGLUCOSE,Similar,EMS SIGMA PHARMA LTDA,2,nao
AGOXOM,AGOXOM,Similar,LABORATORIOS SERVIER DO BRASIL LTDA,3,nao
AGRASTAT,AGRASTAT,Novo,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,1,nao
AGRYLIN,AGRYLIN,Novo,TAKEDA PHARMA LTDA.,1,nao
ÁGUA ESTÉRIL BAXTER,AGUA ESTERIL BAXTER,Específico,BAXTER HOSPITALAR LTDA,1,nao
ÁGUA ESTÉRIL PARA INJETÁVEIS BEKER,AGUA ESTERIL PARA INJETAVEIS BEKER,Específico,BEKER PRODUTOS FARMACO HOSPITALARES LTDA,6,nao
AGUA PARA INJEÇÃO,AGUA PARA INJECAO,Específico,EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA | FRESENIUS KABI BRASIL LTDA | HALEX ISTAR INDUSTRIA FARMACEUTICA SA | JP INDUSTRIA FARMACEUTICA S/A,47,nao
ÁGUA PARA INJEÇÃO B. BRAUN,AGUA PARA INJECAO B BRAUN,Específico,LABORATORIOS B. BRAUN S/A,7,nao
ÁGUA PARA INJETÁVEIS,AGUA PARA INJETAVEIS,Específico,EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA | EUROFARMA LABORATORIOS S.A. | FARMA VISION IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA | FARMARIN INDUSTRIA E COMERCIO LTDA | SAMTEC BIOTECNOLOGIA LIMITADA | SANTISA LABORATÓRIO FARMACÊUTICO S/A,19,nao
ÁGUA PARA IRRIGAÇÃO,AGUA PARA IRRIGACAO,Específico,JP INDUSTRIA FARMACEUTICA S/A,1,nao
AGUD,AGUD,Similar,BIOLAB SANUS FARMACEUTICA LTDA,2,nao
AH-ZUL,AH ZUL,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,8,nao
AILUK,AILUK,Similar,GLENMARK FARMACÊUTICA LTDA,3,nao
AIPRI,AIPRI,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
AIR SALONPAS,AIR SALONPAS,Específico,HISAMITSU FARMACÊUTICA DO BRASIL LTDA,1,nao
AIRES,AIRES,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
AJOVY,AJOVY,Biológico,TEVA FARMACÊUTICA LTDA.,1,nao
AKINETON,AKINETON,Novo,LABORATÓRIOS BAGÓ DO BRASIL S/A,2,nao
AKLIEF,AKLIEF,Novo,GALDERMA BRASIL LTDA,2,nao
AKYNZEO,AKYNZEO,Novo,UNITED MEDICAL LTDA,1,nao
ALANDRE,ALANDRE,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,4,nao
ALBEL,ALBEL,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,5,nao
ALBENTEL,ALBENTEL,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
ALBIOMIN,ALBIOMIN,Biológico,GRIFOLS BRASIL LTDA,2,nao
ALBIOPLAS,ALBIOPLAS,Biológico,ASP-FARMACÊUTICA LTDA,1,nao
ALBISTIN,ALBISTIN,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,3,nao
ALBOCRESIL,ALBOCRESIL,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
ALBUMAX,ALBUMAX,Similar,BLAU FARMACEUTICA S.A.,4,nao
ALBUMINA HUMANA GRIFOLS,ALBUMINA HUMANA GRIFOLS,Novo,GRIFOLS BRASIL LTDA,5,nao
ALBUMINA HUMANA HEMOBRÁS,ALBUMINA HUMANA HEMOBRAS,Novo,EMPRESA BRASILEIRA DE HEMODERIVADOS E BIOTECNOLOGIA,2,nao
ALBUMINA SÉRICA HUMANA NORMAL,ALBUMINA SERICA HUMANA NORMAL,Biológico,TAKEDA PHARMA LTDA.,2,nao
ALBUREX 20,ALBUREX 20,Biológico,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,1,nao
ALCACHOFRA ASPEN PHARMA,ALCACHOFRA ASPEN PHARMA,Fitoterápico,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,3,nao
ALCACHOFRA  HERBARIUM,ALCACHOFRA HERBARIUM,Fitoterápico,HERBARIUM LABORATORIO BOTANICO LTDA,1,nao
ALCACHOFRA MULTILAB,ALCACHOFRA MULTILAB,Fitoterápico,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,3,nao
ALCACHOFRA NATULAB,ALCACHOFRA NATULAB,Fitoterápico,NATULAB LABORATORIO S.A,1,nao
ALCACHOFRA VIDORA,ALCACHOFRA VIDORA,Fitoterápico,VIDORA FARMACEUTICA LTDA,1,nao
ALCACHOFRAX,ALCACHOFRAX,Fitoterápico,LABORATORIO CATARINENSE LTDA,2,nao
ALCYTAM,ALCYTAM,Similar,TORRENT DO BRASIL LTDA,2,nao
ALDACTONE,ALDACTONE,Novo,PFIZER BRASIL LTDA,3,nao
ALDAZIDA,ALDAZIDA,Novo,PFIZER BRASIL LTDA,1,nao
ALDIJET,ALDIJET,Similar,SUPERA FARMA LABORATÓRIOS S.A,1,nao
ALDOMET,ALDOMET,Novo,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,2,nao
ALDURAZYME,ALDURAZYME,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
ALECENSA,ALECENSA,Novo,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,1,nao
ALEKTOS,ALEKTOS,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,4,nao
ALEKTOS PED,ALEKTOS PED,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
ALENDIL,ALENDIL,Similar,FARMOQUÍMICA S/A,2,nao
ALENDIL CÁLCIO D,ALENDIL CALCIO D,Novo,FARMOQUÍMICA S/A,2,nao
ALENIA,ALENIA,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,9,nao
ALENTHUS XR,ALENTHUS XR,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A | SANOFI MEDLEY FARMACÊUTICA LTDA.,6,nao
ALER,ALER,Similar,KYMBERG FARMACEUTICA DO BRASIL LTDA,3,nao
ALERADINA,ALERADINA,Similar,GERMED FARMACEUTICA LTDA,5,nao
ALERFIN,ALERFIN,Similar,CHIESI FARMACÊUTICA LTDA,1,nao
ALERGALIV,ALERGALIV,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,3,nao
ALERGIDEX,ALERGIDEX,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
ALERGOMINE,ALERGOMINE,Similar,CIMED INDUSTRIA S.A,3,nao
ALEVO,ALEVO,Similar,SUPERA FARMA LABORATÓRIOS S.A,5,nao
ALFAEPOETINA,ALFAEPOETINA,Biológico,BLAU FARMACEUTICA S.A. | FUNDACAO OSWALDO CRUZ,37,nao
ALFAINTERFERONA 2B,ALFAINTERFERONA 2B,Biológico,FUNDACAO OSWALDO CRUZ,3,nao
ALFAINTERFERONA 2B (RECOMBINANTE),ALFAINTERFERONA 2B RECOMBINANTE,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
ALFAST,ALFAST,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,3,nao
ALGICOD,ALGICOD,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
ALGIE,ALGIE,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
ALGILIVE,ALGILIVE,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,12,nao
ALGINAC,ALGINAC,Novo,PROCTER & GAMBLE DO BRASIL LTDA,4,nao
ALGY-FLANDERIL,ALGY FLANDERIL,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,6,nao
ALGY-FLANDERIL CAPS,ALGY FLANDERIL CAPS,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,1,nao
ALGY GOTAS,ALGY GOTAS,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,1,nao
ALHEMO®,ALHEMO,Biológico,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,4,nao
ALICURA,ALICURA,Similar,LABORATORIO CATARINENSE LTDA,1,nao
ALIMAX,ALIMAX,Biológico,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
ALIMTA,ALIMTA,Novo,ELI LILLY DO BRASIL LTDA,2,nao
ALIVBABY,ALIVBABY,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,2,nao
ALIVETORE,ALIVETORE,Similar,ABBOTT LABORATORIOS DO BRASIL LTDA,8,nao
ALIVIOL,ALIVIOL,Específico,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,1,nao
ALIVIUM,ALIVIUM,Novo | Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,12,nao
ALKERAN,ALKERAN,Novo,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,2,nao
ALLEGRA,ALLEGRA,Novo,OPELLA HEALTHCARE BRAZIL LTDA,12,nao
ALLEGRA D,ALLEGRA D,Novo,OPELLA HEALTHCARE BRAZIL LTDA,1,nao
ALLENASAL,ALLENASAL,Similar,OPELLA HEALTHCARE BRAZIL LTDA,1,nao
ALLEP,ALLEP,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,2,nao
ALLESTRA,ALLESTRA,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,6,nao
ALLESTRA CONTI,ALLESTRA CONTI,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
ALLEXOFEDRIN,ALLEXOFEDRIN,Similar,EMS S/A,2,nao
ALLEXOFEDRIN D,ALLEXOFEDRIN D,Similar,EMS S/A,1,nao
ALLEXOFEDRIN PEDIÁTRICO,ALLEXOFEDRIN PEDIATRICO,Similar,EMS S/A,2,nao
ALLOVITA,ALLOVITA,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,7,nao
ALLURENE,ALLURENE,Novo,BAYER S.A.,1,nao
ALOFF,ALOFF,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
ALOFF XPE,ALOFF XPE,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
ALOIS,ALOIS,Novo | Similar,APSEN FARMACEUTICA S/A,9,nao
ALOIS DUO,ALOIS DUO,Similar,APSEN FARMACEUTICA S/A,5,nao
ALOIS DUO PACK,ALOIS DUO PACK,Novo,APSEN FARMACEUTICA S/A,1,nao
ALOXIDIL,ALOXIDIL,Similar,THERASKIN FARMACEUTICA LTDA.,6,nao
ALOZEX,ALOZEX,Similar,BIOLAB SANUS FARMACEUTICA LTDA,1,nao
ALPES XL,ALPES XL,Similar,SUPERA FARMA LABORATÓRIOS S.A,3,nao
ALPHABRIN,ALPHABRIN,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
ALPHACAINE,ALPHACAINE,Similar,DFL INDÚSTRIA E COMÉRCIO S/A,1,nao
ALPHAGAN,ALPHAGAN,Novo,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,4,nao
ALPHANATE,ALPHANATE,Biológico,GRIFOLS BRASIL LTDA,2,nao
ALPHANINE,ALPHANINE,Biológico,GRIFOLS BRASIL LTDA,3,nao
ALTAD,ALTAD,Específico,EUROFARMA LABORATORIOS S.A.,3,nao
ALTAD CAPS,ALTAD CAPS,Específico,EUROFARMA LABORATORIOS S.A.,6,nao
ALTIVA,ALTIVA,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
ALTRYXEN,ALTRYXEN,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
ALUDOR,ALUDOR,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
ALURAX,ALURAX,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
ALZ,ALZ,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,4,nao
ALZYNAMIN,ALZYNAMIN,Similar,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,8,nao
AMALFI,AMALFI,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
AMATO,AMATO,Similar,EUROFARMA LABORATORIOS S.A.,6,nao
AMBISOME,AMBISOME,Novo,UNITED MEDICAL LTDA,1,nao
AMBROL,AMBROL,Similar,BRASTERAPICA PHARMACEUTICA LTDA.,4,nao
AMBROXMEL,AMBROXMEL,Similar,CIMED INDUSTRIA S.A,2,nao
AMCLAVU,AMCLAVU,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
AMENIFLAC,AMENIFLAC,Novo,LABORATORIOS B. BRAUN S/A,4,nao
AMGEVITA,AMGEVITA,Biológico,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,10,nao
AMICORED,AMICORED,Específico,VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA,8,nao
AMINOSTERIL N-HEPA 8%,AMINOSTERIL N HEPA 8,Específico,FRESENIUS KABI BRASIL LTDA,2,nao
AMINOVEN,AMINOVEN,Específico,FRESENIUS KABI BRASIL LTDA,6,nao
AMINOVEN 10% INFANT,AMINOVEN 10 INFANT,Específico,FRESENIUS KABI BRASIL LTDA,4,nao
AMIOBAL,AMIOBAL,Similar,LABORATÓRIOS BALDACCI LTDA,4,nao
AMIORON,AMIORON,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,4,nao
AMIXAL,AMIXAL,Específico,LABORATORIOS B. BRAUN S/A,2,nao
AMLODIL,AMLODIL,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,4,nao
AMLOVASC,AMLOVASC,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,2,nao
AMMY,AMMY,Novo | Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
AMOME,AMOME,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
AMORA,AMORA,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
AMORA 20,AMORA 20,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
AMOX-EMS,AMOX EMS,Similar,EMS S/A,2,nao
AMOXIL,AMOXIL,Novo,GLAXOSMITHKLINE BRASIL LTDA,5,nao
AMPCTAN,AMPCTAN,Similar,BLAU FARMACEUTICA S.A.,4,nao
AMPICILAB,AMPICILAB,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,1,nao
AMPLACILINA,AMPLACILINA,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
AMPLATIL,AMPLATIL,Similar,FRESENIUS KABI BRASIL LTDA,2,nao
AMPLICTIL,AMPLICTIL,Novo,BLANVER FARMOQUIMICA E FARMACEUTICA S.A.,3,nao
AMPLIUM G,AMPLIUM G,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
AMPLOSPEC,AMPLOSPEC,Similar,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,1,nao
AMPRAX,AMPRAX,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,1,nao
AMVUTTRA,AMVUTTRA,Novo,SPECIALTY PHARMA GOIAS LTDA,1,nao
AMYTRIL,AMYTRIL,Novo | Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,11,nao
ANA - FLEX,ANA FLEX,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,3,nao
ANADOR,ANADOR,Similar,OPELLA HEALTHCARE BRAZIL LTDA,8,nao
ANAFRANIL,ANAFRANIL,Novo,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,4,nao
ANASTROLIBBS,ANASTROLIBBS,Similar,LIBBS FARMACÊUTICA LTDA,1,nao
ANCORON,ANCORON,Novo | Similar,LIBBS FARMACÊUTICA LTDA,6,nao
ANDANTOL,ANDANTOL,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
ANDEMBRY,ANDEMBRY,Biológico,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,1,nao
ANDES,ANDES,Similar,SUPERA FARMA LABORATÓRIOS S.A,8,nao
ANDOLBA,ANDOLBA,Novo,EUROFARMA LABORATORIOS S.A.,1,nao
ANDRIODERMOL,ANDRIODERMOL,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
ANDROCORTIL,ANDROCORTIL,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
ANDROCUR,ANDROCUR,Novo,BAYER S.A. | LABORATÓRIOS BAGÓ DO BRASIL S/A,4,nao
ANDROGEL,ANDROGEL,Novo,BESINS HEALTHCARE BRASIL COMERCIAL E DISTRIBUIDORA DE MEDICAMENTOS LTDA,2,nao
