codigo_br,desc_item,codigo_pdm,desc_pdm,numeroCaracteristica,nomeCaracteristica,nomeValorCaracteristica,siglaUnidadeMedida
635013,"635013 - Canabidiol, Composição:Associado Ao Tetrahidrocanabinol (Thc), Concentração:60 Mg/Ml + 3 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
634786,"634786 - Canabidiol, Concentração:42,37 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,5,Concentração,"42,37",MG/ML
634786,"634786 - Canabidiol, Concentração:42,37 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
634785,"634785 - Canabidiol, Composição:Associado Ao Tetrahidrocanabinol (Thc), Concentração:96 Mg/Ml + 2,4 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,1,Composição,Associado Ao Tetrahidrocanabinol (Thc),NA
634785,"634785 - Canabidiol, Composição:Associado Ao Tetrahidrocanabinol (Thc), Concentração:96 Mg/Ml + 2,4 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,5,Concentração,"96 Mg/Ml + 2,4",MG/ML
634785,"634785 - Canabidiol, Composição:Associado Ao Tetrahidrocanabinol (Thc), Concentração:96 Mg/Ml + 2,4 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
634784,"634784 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:17,18 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,2,Outros Componentes,Tetrahidrocanabinol (Thc),NA
634784,"634784 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:17,18 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,6,Concentração 1,"17,18 Mg/Ml < 0,2%",NA
634784,"634784 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:17,18 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
634783,"634783 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:34,36 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,2,Outros Componentes,Tetrahidrocanabinol (Thc),NA
634783,"634783 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:34,36 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,6,Concentração 1,"34,36 Mg/Ml < 0,2%",NA
634783,"634783 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:34,36 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
634782,"634782 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:47,5 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,2,Outros Componentes,Tetrahidrocanabinol (Thc),NA
634782,"634782 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:47,5 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,6,Concentração 1,"47,5 Mg/Ml < 0,2%",NA
634782,"634782 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:47,5 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
634781,"634781 - Canabidiol, Concentração:8,33 MG/G, Forma Farmacêutica:Bálsamo, Adicional:Isento De Thc",30212,Canabidiol,5,Concentração,"8,33",MG/G
634781,"634781 - Canabidiol, Concentração:8,33 MG/G, Forma Farmacêutica:Bálsamo, Adicional:Isento De Thc",30212,Canabidiol,7,Forma Farmacêutica,Bálsamo,NA
634781,"634781 - Canabidiol, Concentração:8,33 MG/G, Forma Farmacêutica:Bálsamo, Adicional:Isento De Thc",30212,Canabidiol,8,Adicional,Isento De Thc,NA
634780,"634780 - Canabidiol, Concentração:16,66 MG/G, Forma Farmacêutica:Bálsamo, Adicional:Isento De Thc",30212,Canabidiol,5,Concentração,"16,66",MG/G
634780,"634780 - Canabidiol, Concentração:16,66 MG/G, Forma Farmacêutica:Bálsamo, Adicional:Isento De Thc",30212,Canabidiol,7,Forma Farmacêutica,Bálsamo,NA
634780,"634780 - Canabidiol, Concentração:16,66 MG/G, Forma Farmacêutica:Bálsamo, Adicional:Isento De Thc",30212,Canabidiol,8,Adicional,Isento De Thc,NA
634779,"634779 - Canabidiol, Concentração:100 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,5,Concentração,100,MG/ML
634779,"634779 - Canabidiol, Concentração:100 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
634778,"634778 - Canabidiol, Concentração:60 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,5,Concentração,60,MG/ML
634778,"634778 - Canabidiol, Concentração:60 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
634777,"634777 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:33,33 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,2,Outros Componentes,Tetrahidrocanabinol (Thc),NA
634777,"634777 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:33,33 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,6,Concentração 1,"33,33 Mg/Ml < 0,2%",NA
634777,"634777 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:33,33 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
634776,"634776 - Canabidiol, Concentração:21,2 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,5,Concentração,"21,2",MG/ML
634776,"634776 - Canabidiol, Concentração:21,2 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
634775,"634775 - Canabidiol, Concentração:166,66 MG/ML, Forma Farmacêutica:Tintura",30212,Canabidiol,5,Concentração,"166,66",MG/ML
634775,"634775 - Canabidiol, Concentração:166,66 MG/ML, Forma Farmacêutica:Tintura",30212,Canabidiol,7,Forma Farmacêutica,Tintura,NA
634309,"634309 - Canabidiol, Concentração:20 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,5,Concentração,20,MG/ML
634309,"634309 - Canabidiol, Concentração:20 MG/ML, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
634262,"634262 - Canabidiol, Composição:Associado Ao Beta Cariofileno, Concentração:750 Mg + 360 MG, Adicional:Isento De Thc",30212,Canabidiol,1,Composição,Associado Ao Beta Cariofileno,NA
634262,"634262 - Canabidiol, Composição:Associado Ao Beta Cariofileno, Concentração:750 Mg + 360 MG, Adicional:Isento De Thc",30212,Canabidiol,5,Concentração,750 Mg + 360,MG
634262,"634262 - Canabidiol, Composição:Associado Ao Beta Cariofileno, Concentração:750 Mg + 360 MG, Adicional:Isento De Thc",30212,Canabidiol,8,Adicional,Isento De Thc,NA
634109,"634109 - Canabidiol, Concentração:91,66 MG/ML, Forma Farmacêutica:Roll-On",30212,Canabidiol,5,Concentração,"91,66",MG/ML
634109,"634109 - Canabidiol, Concentração:91,66 MG/ML, Forma Farmacêutica:Roll-On",30212,Canabidiol,7,Forma Farmacêutica,Roll-On,NA
632531,"632531 - Canabidiol, Composição:Associado Ao Canabigerol (Cbg), Canabinol (Cbn), Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:60 Mg/Ml + 33,33 Mg/Ml + 6,66 Mg/Ml < 0,3%, Forma Farmacêutica:Solução Oral, Adicional:Espectro Completo",30212,Canabidiol,1,Composição,"Associado Ao Canabigerol (Cbg), Canabinol (Cbn)",NA
632531,"632531 - Canabidiol, Composição:Associado Ao Canabigerol (Cbg), Canabinol (Cbn), Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:60 Mg/Ml + 33,33 Mg/Ml + 6,66 Mg/Ml < 0,3%, Forma Farmacêutica:Solução Oral, Adicional:Espectro Completo",30212,Canabidiol,2,Outros Componentes,Tetrahidrocanabinol (Thc),NA
632531,"632531 - Canabidiol, Composição:Associado Ao Canabigerol (Cbg), Canabinol (Cbn), Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:60 Mg/Ml + 33,33 Mg/Ml + 6,66 Mg/Ml < 0,3%, Forma Farmacêutica:Solução Oral, Adicional:Espectro Completo",30212,Canabidiol,6,Concentração 1,"60 Mg/Ml + 33,33 Mg/Ml + 6,66 Mg/Ml < 0,3%",NA
632531,"632531 - Canabidiol, Composição:Associado Ao Canabigerol (Cbg), Canabinol (Cbn), Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:60 Mg/Ml + 33,33 Mg/Ml + 6,66 Mg/Ml < 0,3%, Forma Farmacêutica:Solução Oral, Adicional:Espectro Completo",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
632531,"632531 - Canabidiol, Composição:Associado Ao Canabigerol (Cbg), Canabinol (Cbn), Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:60 Mg/Ml + 33,33 Mg/Ml + 6,66 Mg/Ml < 0,3%, Forma Farmacêutica:Solução Oral, Adicional:Espectro Completo",30212,Canabidiol,8,Adicional,Espectro Completo,NA
631887,"631887 - Canabidiol, Outros Componentes:Canabinol (Cbn), Componentes Adicionais:Tetrahidrocanabinol (Thc), Concentração:100 Mg/Ml + 10 Mg/Ml + 3 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Amplo Espectro",30212,Canabidiol,2,Outros Componentes,Canabinol (Cbn),NA
631887,"631887 - Canabidiol, Outros Componentes:Canabinol (Cbn), Componentes Adicionais:Tetrahidrocanabinol (Thc), Concentração:100 Mg/Ml + 10 Mg/Ml + 3 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Amplo Espectro",30212,Canabidiol,4,Componentes Adicionais,Tetrahidrocanabinol (Thc),NA
631887,"631887 - Canabidiol, Outros Componentes:Canabinol (Cbn), Componentes Adicionais:Tetrahidrocanabinol (Thc), Concentração:100 Mg/Ml + 10 Mg/Ml + 3 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Amplo Espectro",30212,Canabidiol,5,Concentração,100 Mg/Ml + 10 Mg/Ml + 3,MG/ML
631887,"631887 - Canabidiol, Outros Componentes:Canabinol (Cbn), Componentes Adicionais:Tetrahidrocanabinol (Thc), Concentração:100 Mg/Ml + 10 Mg/Ml + 3 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Amplo Espectro",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
631887,"631887 - Canabidiol, Outros Componentes:Canabinol (Cbn), Componentes Adicionais:Tetrahidrocanabinol (Thc), Concentração:100 Mg/Ml + 10 Mg/Ml + 3 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Amplo Espectro",30212,Canabidiol,8,Adicional,Amplo Espectro,NA
631577,"631577 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:50 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,2,Outros Componentes,Tetrahidrocanabinol (Thc),NA
631577,"631577 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:50 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,6,Concentração 1,"50 Mg/Ml < 0,2%",NA
631577,"631577 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:50 Mg/Ml < 0,2%, Forma Farmacêutica:Solução Oral - Gotas",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral - Gotas,NA
631255,"631255 - Canabidiol, Composição:Associado Ao Tetrahidrocanabinol (Thc), Concentração:100 Mg/Ml + 3 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,1,Composição,Associado Ao Tetrahidrocanabinol (Thc),NA
631255,"631255 - Canabidiol, Composição:Associado Ao Tetrahidrocanabinol (Thc), Concentração:100 Mg/Ml + 3 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,5,Concentração,100 Mg/Ml + 3,MG/ML
631255,"631255 - Canabidiol, Composição:Associado Ao Tetrahidrocanabinol (Thc), Concentração:100 Mg/Ml + 3 MG/ML, Forma Farmacêutica:Solução Oral",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
631091,"631091 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:20 Mg/Ml < 0,3%, Forma Farmacêutica:Solução Oral",30212,Canabidiol,2,Outros Componentes,Tetrahidrocanabinol (Thc),NA
631091,"631091 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:20 Mg/Ml < 0,3%, Forma Farmacêutica:Solução Oral",30212,Canabidiol,6,Concentração 1,"20 Mg/Ml < 0,3%",NA
631091,"631091 - Canabidiol, Outros Componentes:Tetrahidrocanabinol (Thc), Concentração 1:20 Mg/Ml < 0,3%, Forma Farmacêutica:Solução Oral",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
631090,"631090 - Canabidiol, Concentração:21,2 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Isento De Thc",30212,Canabidiol,5,Concentração,"21,2",MG/ML
631090,"631090 - Canabidiol, Concentração:21,2 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Isento De Thc",30212,Canabidiol,7,Forma Farmacêutica,Solução Oral,NA
631090,"631090 - Canabidiol, Concentração:21,2 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Isento De Thc",30212,Canabidiol,8,Adicional,Isento De Thc,NA
631089,"631089 - Canabidiol, Concentração:10 MG/ML, Forma Farmacêutica:Spray Nasal, Adicional:Isento De Thc",30212,Canabidiol,5,Concentração,10,MG/ML
631089,"631089 - Canabidiol, Concentração:10 MG/ML, Forma Farmacêutica:Spray Nasal, Adicional:Isento De Thc",30212,Canabidiol,7,Forma Farmacêutica,Spray Nasal,NA
631089,"631089 - Canabidiol, Concentração:10 MG/ML, Forma Farmacêutica:Spray Nasal, Adicional:Isento De Thc",30212,Canabidiol,8,Adicional,Isento De Thc,NA
630954,"630954 - Canabidiol, Concentração:240 MG/ML, Forma Farmacêutica:Solução Oral, Adicional:Isento De Thc",30212,Canabidiol,5,Concentração,240,MG/ML
