codigo_pdm,codigo_br,nome_item,embedding
5116,267164,"cloreto de potássio, dosagem:6%, apresentação:solução oral","[ 0.01304972  0.01173861 -0.0173559  ... -0.01111953  0.00473574
  0.00395289]"
6143,267187,"dexametasona, dosagem:0,1%, apresentação:solução oftálmica","[-0.00176913 -0.02015705  0.01220696 ...  0.01563942  0.00190176
  0.00154376]"
6168,267194,"diazepam, dosagem:5 mg/ml, apresentação:solução injetável","[-0.02368125 -0.02828528  0.07571075 ...  0.04349134 -0.02532903
  0.01380335]"
6168,267195,"diazepam, dosagem:5 mg","[ 0.01411811 -0.03298653  0.07817578 ...  0.01210888 -0.05065402
  0.02188576]"
6168,267196,"diazepam, dosagem:2 mg","[-0.01918273 -0.03433509  0.07970861 ...  0.03080834 -0.03826256
  0.01693142]"
6168,267197,"diazepam, dosagem:10 mg","[ 0.02265207 -0.05119769  0.04624845 ...  0.00868583 -0.04085766
  0.04963861]"
17708,267203,"dipirona sódica, dosagem:500 mg","[-0.02457795 -0.02020933  0.02619307 ...  0.01802622 -0.02571457
  0.02400071]"
17708,267205,"dipirona sódica, dosagem:500 mg/ml, apresentação:solução oral (gotas)","[-0.03643062 -0.0186036   0.01558104 ...  0.03194061 -0.03085742
 -0.00872154]"
17708,267206,"dipirona sódica, dosagem:50 mg/ml, apresentação:solução oral","[-0.03285433 -0.0289312   0.04043832 ...  0.01863141 -0.01826952
  0.00058204]"
6866,267207,"eritromicina, dosagem:250 mg","[-0.03277    -0.0022242   0.0281079  ...  0.01213764  0.01332657
 -0.00607312]"
17709,267208,"estriol, dosagem:1 mg/g, apresentação:creme vaginal","[-0.03163312  0.00580785  0.03889089 ...  0.01618812  0.03426648
  0.00865105]"
17709,267209,"estriol, dosagem:1 mg","[-0.00952243 -0.00385466  0.04317207 ...  0.0053132   0.01878022
  0.01100458]"
8231,267270,"hidróxido de alumínio, indicação:62mg/ml, apresentação:suspensão oral","[ 0.00969552  0.03237085  0.05922721 ...  0.02446909 -0.01686248
  0.00816838]"
8231,267271,"hidróxido de alumínio, indicação:300mg","[-0.0079328   0.0433194   0.0008519  ...  0.03126946  0.01558324
  0.0190758 ]"
8254,267281,"escopolamina butilbrometo, dosagem:10 mg/ml, indicação:solução oral","[ 0.00971778  0.00323168 -0.02602824 ... -0.00834361 -0.01006501
  0.00984171]"
8254,267282,"escopolamina butilbrometo, dosagem:20 mg/ml, indicação:solução injetável","[-0.00352028  0.02199487 -0.0034614  ... -0.00593165  0.0181233
  0.00846749]"
8254,267283,"escopolamina butilbrometo, dosagem:10 mg","[ 0.01991318 -0.01932156 -0.01482546 ... -0.03069553 -0.00945526
  0.02611168]"
5194,267292,"imipramina, princípio ativo:cloridrato, dosagem:25 mg","[-0.02927027  0.01232872  0.006932   ... -0.00508352  0.00936063
  0.00170496]"
5194,267293,"imipramina, princípio ativo:cloridrato, dosagem:10 mg","[-0.02407872  0.00245163 -0.00908806 ... -0.00813537  0.00295304
  0.00695782]"
5194,267294,"imipramina, princípio ativo:pamoato, dosagem:75 mg","[-0.01920372 -0.00169073  0.02899908 ...  0.008546    0.00483188
 -0.02153553]"
361,267309,"medroxiprogesterona acetato, dosagem:5 mg","[ 0.00713731 -0.07643127  0.01303735 ...  0.03100161 -0.03353885
 -0.00806885]"
9702,267310,"metoclopramida cloridrato, dosagem:5 mg/ml, apresentação:solução injetável","[-0.0618603   0.02105932 -0.00191377 ...  0.01134223 -0.00843335
 -0.00134658]"
9702,267311,"metoclopramida cloridrato, dosagem:4 mg/ml, apresentação:solução oral","[-0.05666982  0.03113921 -0.00691792 ...  0.02204821 -0.03030083
  0.00546278]"
9702,267312,"metoclopramida cloridrato, dosagem:10 mg","[-0.0312907  -0.01341758 -0.03415985 ... -0.01546549 -0.02341917
  0.03704365]"
7787,267328,"fosfato de sódio, apresentação:enema, dosagem:fosfato monobásico 16% + fosfato dibásico 6%","[ 0.08254722 -0.05233768 -0.01507598 ...  0.00056145  0.00298876
  0.04264952]"
10101,267355,"isoconazol nitrato, dosagem:10 mg/g, apresentação:creme","[-0.00262448 -0.01074758  0.02105797 ... -0.02152804  0.00569715
 -0.0109458 ]"
