numero_controle_pncp,numero_item,tipoBeneficioNome,aplicabilidadeMargemPreferenciaNormal,percentualMargemPreferenciaNormal,aplicabilidadeMargemPreferenciaAdicional,percentualMargemPreferenciaAdicional,tipoMargemPreferencia.codigo,criterioJulgamentoNome,tipoMargemPreferencia.nome,tipoMargemPreferencia,exigenciaConteudoNacional,_merge,srp,_merge_srp
46374500000194-1-006226/2025,1,Não se aplica,False,,False,,,Menor preço,,,"FALSE,,",both,False,both
00394544000185-1-001566/2025,1,Não se aplica,True,5.0,True,10.0,,Menor preço,,,"FALSE,2,Resolução CICS",both,True,both
00394544000185-1-001566/2025,2,Não se aplica,True,5.0,True,10.0,,Menor preço,,,"FALSE,2,Resolução CICS",both,True,both
00394544000185-1-001566/2025,3,Não se aplica,True,5.0,True,10.0,,Menor preço,,,"FALSE,2,Resolução CICS",both,True,both
00394544000185-1-001566/2025,4,Não se aplica,True,5.0,True,10.0,,Menor preço,,,"FALSE,2,Resolução CICS",both,True,both
10628610000198-1-000026/2025,10,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,"FALSE,,",both,False,both
46374500000194-1-006747/2025,7,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,"FALSE,,",both,False,both
46374500000194-1-006747/2025,8,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,"FALSE,,",both,False,both
46374500000194-1-006747/2025,10,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,"FALSE,,",both,False,both
01613765000160-1-000139/2025,2,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,"FALSE,,",both,True,both
00394452000103-1-015897/2025,2,Não se aplica,True,10.0,False,,,Menor preço,,,"FALSE,2,Resolução CICS",both,True,both
00394452000103-1-015897/2025,3,Não se aplica,False,,False,,,Menor preço,,,"FALSE,,",both,True,both
00394452000103-1-015897/2025,4,Não se aplica,False,,False,,,Menor preço,,,"FALSE,,",both,True,both
00394544000185-1-002760/2025,3,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
46362661000168-1-001347/2025,1,Sem benefício,False,,False,,,Menor preço,,,"['FALSE,,', 'False']",both,True,both
46362661000168-1-001347/2025,2,Sem benefício,False,,False,,,Menor preço,,,"['FALSE,,', 'False']",both,True,both
46362661000168-1-001347/2025,3,Sem benefício,False,,False,,,Menor preço,,,"['FALSE,,', 'False']",both,True,both
46362661000168-1-001347/2025,4,Sem benefício,False,,False,,,Menor preço,,,"['FALSE,,', 'False']",both,True,both
46362661000168-1-001347/2025,5,Sem benefício,False,,False,,,Menor preço,,,"['FALSE,,', 'False']",both,True,both
46362661000168-1-001347/2025,10,Sem benefício,False,,False,,,Menor preço,,,"['FALSE,,', 'False']",both,True,both
46374500000194-1-006716/2025,1,Não se aplica,False,,False,,,Menor preço,,,"FALSE,,",both,False,both
15126437000305-1-000563/2025,9,Não se aplica,False,,False,,,Menor preço,,,"[False, 'FALSE,,', 'False']",both,True,both
