codigo_item,caracteristicas_ocds
266833,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Imunoglobulina Humana; Anti Varicela Zoster""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 UI/ML""}]"
266863,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Metronidazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG/ML""}]"
267077,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Bezafibrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
267081,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Fenofibrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
267082,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Liberação Prolongada""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Fluvastatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""80 MG""}]"
267083,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Fluvastatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""20 MG""}]"
267084,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Fluvastatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG""}]"
267087,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Genfibrozila""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""900 MG""}]"
267088,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Genfibrozila""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""600 MG""}]"
267092,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Lovastatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG""}]"
267107,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Fenitoína Sódica""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG/ML""}]"
267140,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Azitromicina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
267151,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cetoconazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
267158,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Comprimido Efervescente""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cloreto De Potássio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""600 MG""}]"
267160,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cloreto De Potássio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.15""}]"
267161,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cloreto De Potássio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.1""}]"
267162,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cloreto De Potássio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.191""}]"
267163,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cloreto De Potássio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.2""}]"
267164,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cloreto De Potássio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.06""}]"
267187,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oftálmica""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Dexametasona""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.001""}]"
267194,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Diazepam""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5 MG/ML""}]"
267195,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Diazepam""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5 MG""}]"
267196,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Diazepam""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""2 MG""}]"
267197,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Diazepam""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG""}]"
267203,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Dipirona Sódica""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
267205,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral (Gotas)""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Dipirona Sódica""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG/ML""}]"
267206,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Dipirona Sódica""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG/ML""}]"
267207,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Eritromicina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""250 MG""}]"
267208,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Creme Vaginal""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Estriol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""1 MG/G""}]"
267209,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Estriol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""1 MG""}]"
267270,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Hidróxido De Alumínio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""62 MG/ML""}]"
267271,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Hidróxido De Alumínio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""300 MG""}]"
267281,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Escopolamina Butilbrometo""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG/ML""}]"
267282,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Escopolamina Butilbrometo""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""20 MG/ML""}]"
267283,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Escopolamina Butilbrometo""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG""}]"
267292,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Imipramina; Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""25 MG""}]"
267293,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Imipramina; Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG""}]"
267294,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Imipramina; Pamoato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""75 MG""}]"
267309,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Medroxiprogesterona Acetato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5 MG""}]"
267310,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Metoclopramida Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5 MG/ML""}]"
267311,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Metoclopramida Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""4 MG/ML""}]"
267312,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Metoclopramida Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG""}]"
267328,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Enema""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Fosfato De Sódio""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.16 + 0.06""}]"
267355,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Creme""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Isoconazol Nitrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10 MG/G""}]"
267376,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Midazolam""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""7.5 MG""}]"
267378,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Nistatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100000 UI/ML""}]"
267393,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Tetraciclina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
267395,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ibuprofeno""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG""}]"
267415,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Teofilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
267416,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Teofilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
267418,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Pomada""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Tiabendazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG/G""}]"
267419,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Tiabendazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG/ML""}]"
267424,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Verapamil Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""2.5 MG/ML""}]"
267425,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Verapamil Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""80 MG""}]"
267426,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Verapamil Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG""}]"
267446,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Naproxeno""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""25 MG/ML""}]"
267501,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
267502,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Acetilsalicílico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
267503,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Fólico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5 MG""}]"
267504,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Valpróico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""250 MG""}]"
267505,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ácido Valpróico""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
267506,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Albendazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG""}]"
267507,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Albendazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG/ML""}]"
267508,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Alopurinol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
267509,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Alopurinol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""300 MG""}]"
