numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
92406180000124-1-000041/2025,7,https://pncp.gov.br/api/pncp/v1/orgaos/92406180000124/compras/2025/41/itens/7/resultados,1,1,Informado,2025-04-09T17:22:25,2025-04-09T17:22:25,91083212000135,DENTÁRIA E DISTRIB. HOSP. PORTO ALEGRENSE LTDA,PJ,2,EPP,,,BRA,6.0,89.98,539.88,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
92406180000124-1-000041/2025,8,https://pncp.gov.br/api/pncp/v1/orgaos/92406180000124/compras/2025/41/itens/8/resultados,1,1,Informado,2025-04-09T17:22:28,2025-04-09T17:22:28,08849206000100,DENTAL OPEN - COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA.,PJ,3,Demais,,,BRA,4.0,7.96,31.84,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
92406180000124-1-000041/2025,9,https://pncp.gov.br/api/pncp/v1/orgaos/92406180000124/compras/2025/41/itens/9/resultados,1,1,Informado,2025-04-09T17:22:32,2025-04-09T17:22:32,72150550000106,JULIANO DE COSTA LTDA – EPP,PJ,3,Demais,,,BRA,4.0,181.0,724.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
92406180000124-1-000054/2024,5,https://pncp.gov.br/api/pncp/v1/orgaos/92406180000124/compras/2024/54/itens/5/resultados,1,1,Informado,2024-06-12T13:58:56,2024-06-12T13:58:56,36519741000120,ODONTOSHOW PRODUTOS ODONTOLÓGICOS LTDA,PJ,1,ME,,,BRA,6.0,75.87,455.22,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
92406180000124-1-000054/2024,7,https://pncp.gov.br/api/pncp/v1/orgaos/92406180000124/compras/2024/54/itens/7/resultados,1,1,Informado,2024-06-12T13:58:56,2024-06-12T13:58:56,36519741000120,ODONTOSHOW PRODUTOS ODONTOLÓGICOS LTDA,PJ,1,ME,,,BRA,2.0,178.1,356.2,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
92406180000124-1-000054/2024,9,https://pncp.gov.br/api/pncp/v1/orgaos/92406180000124/compras/2024/54/itens/9/resultados,1,1,Informado,2024-06-12T13:58:56,2024-06-12T13:58:56,36519741000120,ODONTOSHOW PRODUTOS ODONTOLÓGICOS LTDA,PJ,1,ME,,,BRA,2.0,136.4,272.8,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
92406180000124-1-000054/2024,10,https://pncp.gov.br/api/pncp/v1/orgaos/92406180000124/compras/2024/54/itens/10/resultados,1,1,Informado,2024-06-12T13:58:56,2024-06-12T13:58:56,36519741000120,ODONTOSHOW PRODUTOS ODONTOLÓGICOS LTDA,PJ,1,ME,,,BRA,3.0,137.6,412.8,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
91997072000100-1-000057/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/91997072000100/compras/2025/57/itens/1/resultados,1,1,Informado,2025-05-12T12:59:19,2025-05-12T12:59:19,17522170000139,EDIRLEI PAVINATO VARIEDADES,PJ,1,ME,,,BRA,150.0,6.88,1032.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
08778268000160-1-000213/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/213/itens/1/resultados,1,1,Informado,2025-05-01T09:16:54,2025-05-01T09:16:54,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,15.0,21.0,315.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000213/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/213/itens/2/resultados,1,1,Informado,2025-05-01T09:16:58,2025-05-01T09:16:58,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,360.0,2.49,896.4,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000213/2025,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/213/itens/4/resultados,1,1,Informado,2025-05-01T09:17:06,2025-05-01T09:17:06,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,180.0,0.05,9.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
