numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
19471503000173-1-000006/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/19471503000173/compras/2025/6/itens/2/resultados,1,1,Informado,2025-07-18T10:20:19,2025-07-18T10:20:19,10783653000148,D TROMBETA EPP,PJ,1,ME,,,BRA,30.0,2.7,81.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
92451038000107-1-000084/2024,4,https://pncp.gov.br/api/pncp/v1/orgaos/92451038000107/compras/2024/84/itens/4/resultados,1,1,Informado,2024-09-11T08:40:55,2024-09-11T08:40:55,20086528000132,MARCHMED COMERCIO DE PRODUTOS HOSPITALARES - LTDA,PJ,1,ME,,,BRA,2.0,168.0,336.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
08778268000160-1-000888/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/888/itens/2/resultados,1,1,Informado,2025-12-02T09:06:31,2025-12-02T09:06:31,41778326000121,MED & FARMA COMERCIO ATACADISTA MEDICAMENTOS LTDA,PJ,1,ME,,,BRA,15600.0,93.9,1464840.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000888/2025,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/888/itens/3/resultados,1,1,Informado,2025-12-02T09:06:31,2025-12-02T09:06:31,81706251000198,PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA,PJ,3,Demais,,,BRA,70.0,212.0,14840.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000888/2025,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/888/itens/4/resultados,1,1,Informado,2025-12-02T09:06:31,2025-12-02T09:06:31,40434205000108,RDW COMÉRCIO ATACADISTA DE MATERIAIS HOSPITALARES LTDA,PJ,1,ME,,,BRA,1700.0,950.0,1615000.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000888/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/888/itens/5/resultados,1,1,Informado,2025-12-02T09:06:32,2025-12-02T09:06:32,41778326000121,MED & FARMA COMERCIO ATACADISTA MEDICAMENTOS LTDA,PJ,1,ME,,,BRA,77300.0,0.05,3865.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000888/2025,8,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/888/itens/8/resultados,1,1,Informado,2025-12-02T09:06:33,2025-12-02T09:06:33,52448000000152,NORT MED PRODUTOS HOSPITALARES LTDA,PJ,2,EPP,,,BRA,14300.0,52.0,743600.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000888/2025,9,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/888/itens/9/resultados,1,1,Informado,2025-12-02T09:06:33,2025-12-02T09:06:33,41778326000121,MED & FARMA COMERCIO ATACADISTA MEDICAMENTOS LTDA,PJ,1,ME,,,BRA,51350.0,89.9,4616365.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000891/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/891/itens/2/resultados,1,1,Informado,2025-12-02T09:06:36,2025-12-02T09:06:36,07484373000124,UNI HOSPITALAR LTDA,PJ,3,Demais,,,BRA,24.0,1109.79,26634.96,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000900/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/900/itens/5/resultados,1,1,Informado,2025-12-02T09:07:09,2025-12-02T09:07:09,40787152000109,CIRUFARMA COMERCIAL LTDA,PJ,3,Demais,,,BRA,138.0,10.95,1511.1,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000901/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/901/itens/1/resultados,1,1,Informado,2025-12-02T09:07:11,2025-12-02T09:07:11,21381761000100,SIX DISTRIBUIDORA HOSPITALAR LTDA,PJ,3,Demais,,,BRA,750.0,4.05,3037.5,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000901/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/901/itens/2/resultados,1,1,Informado,2025-12-02T09:07:11,2025-12-02T09:07:11,21381761000100,SIX DISTRIBUIDORA HOSPITALAR LTDA,PJ,3,Demais,,,BRA,600.0,7.56,4536.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000901/2025,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/901/itens/4/resultados,1,1,Informado,2025-12-02T09:07:12,2025-12-02T09:07:12,21381761000100,SIX DISTRIBUIDORA HOSPITALAR LTDA,PJ,3,Demais,,,BRA,2250.0,4.66,10485.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
