numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
19471503000173-1-000006/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/19471503000173/compras/2025/6/itens/2/resultados,1,1,Informado,2025-07-18T10:20:19,2025-07-18T10:20:19,10783653000148,D TROMBETA EPP,PJ,1,ME,,,BRA,30.0,2.7,81.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
08778268000160-1-000432/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/432/itens/1/resultados,1,1,Informado,2025-07-19T09:09:09,2025-07-19T09:09:09,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,16000.0,1.7,27200.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000432/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/432/itens/2/resultados,1,1,Informado,2025-07-19T09:09:19,2025-07-19T09:09:19,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,75000.0,0.45,33750.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000431/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/431/itens/1/resultados,1,1,Informado,2025-07-19T09:06:20,2025-07-19T09:06:20,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,16000.0,1.7,27200.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000431/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/431/itens/2/resultados,1,1,Informado,2025-07-19T09:16:45,2025-07-19T09:16:45,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,75000.0,0.45,33750.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000439/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/439/itens/1/resultados,1,1,Informado,2025-07-19T09:14:43,2025-07-19T09:14:43,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,70.0,6.7,469.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000453/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/453/itens/1/resultados,1,1,Informado,2025-07-26T09:10:19,2025-07-26T09:10:19,08958628000297,ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,PJ,3,Demais,,,BRA,2880.0,295.64,851443.2,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
10581764000171-1-000246/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/10581764000171/compras/2025/246/itens/1/resultados,1,2,Cancelado,2025-06-05T15:15:55,2025-07-31T14:46:08,44348582000177,AC DISTRIBUIDORA HOSPITALAR LTDA,PJ,1,ME,0.0,Natureza Jurídica não informada,BRA,2.0,10.73,0.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,0001-01-01,2025-07-31T00:00:00,Sem Vencedor,,,,,
