"lote","tamanho","inicio","fim","duracao"
1,1000,2025-06-26T02:21:15.118855Z,2025-06-26T02:31:04.694449Z,589.575593948364
2,1000,2025-06-26T02:31:04.719873Z,2025-06-26T02:40:53.415208Z,588.695335149765
3,1000,2025-06-26T02:40:53.434784Z,2025-06-26T02:50:53.209513Z,599.774729013443
4,1000,2025-06-26T02:50:53.237929Z,2025-06-26T02:58:58.482844Z,485.244915008545
