numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
08778268000160-1-001063/2024,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1063/itens/1/resultados,1,1,Informado,2025-01-08T08:46:27,2025-01-08T08:46:27,17174657000844,HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA,PJ,3,Demais,,,BRA,27000.0,0.78,21060.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001063/2024,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1063/itens/3/resultados,1,1,Informado,2025-01-08T08:46:33,2025-01-08T08:46:33,08778201000126,DROGAFONTE LTDA,PJ,3,Demais,,,BRA,7200.0,0.81,5832.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001063/2024,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1063/itens/4/resultados,1,1,Informado,2025-01-08T08:46:37,2025-01-08T08:46:37,17174657000844,HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA,PJ,3,Demais,,,BRA,2700.0,17.94,48438.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001063/2024,6,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1063/itens/6/resultados,1,1,Informado,2025-01-08T08:46:40,2025-01-08T08:46:40,08778201000126,DROGAFONTE LTDA,PJ,3,Demais,,,BRA,7200.0,0.43,3096.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001063/2024,7,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1063/itens/7/resultados,1,1,Informado,2025-01-08T08:46:43,2025-01-08T08:46:43,34523353000198, AGILE DISTRIBUIDORA LTDA,PJ,2,EPP,,,BRA,2100.0,1.24,2604.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001063/2024,8,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1063/itens/8/resultados,1,1,Informado,2025-01-08T08:46:47,2025-01-08T08:46:47,08778201000126,DROGAFONTE LTDA,PJ,3,Demais,,,BRA,45000.0,0.24,10800.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001063/2024,9,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1063/itens/9/resultados,1,1,Informado,2025-01-08T08:46:50,2025-01-08T08:46:50,06628333000146,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,PJ,3,Demais,,,BRA,7200.0,0.38,2736.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001063/2024,10,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1063/itens/10/resultados,1,1,Informado,2025-01-08T08:46:53,2025-01-08T08:46:53,06628333000146,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,PJ,3,Demais,,,BRA,10800.0,0.4,4320.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001097/2024,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1097/itens/1/resultados,1,1,Informado,2025-01-17T09:06:02,2025-01-17T09:06:02,08958628000297,ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,PJ,3,Demais,,,BRA,360.0,945.37,340333.2,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001099/2024,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1099/itens/1/resultados,1,1,Informado,2025-01-17T09:06:05,2025-01-17T09:06:05,60318797000100,ASTRAZENECA DO BRASIL LTDA,PJ,3,Demais,,,BRA,6.0,7954.53,47727.18,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000008/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/8/itens/5/resultados,1,1,Informado,2025-01-17T09:06:40,2025-01-17T09:06:40,38414915000116,MILTON DE ASSIS GARRIDO NETO,PJ,1,ME,,,BRA,50.0,27.0,1350.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000012/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/12/itens/5/resultados,1,1,Informado,2025-01-30T09:03:35,2025-01-30T09:03:35,24483944000125,GUEDES DIST DE PRODUTOS DE LIMPEZA EIRELI - ME,PJ,1,ME,,,BRA,260.0,10.45,2717.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001124/2024,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1124/itens/1/resultados,1,1,Informado,2025-01-31T09:02:40,2025-01-31T09:02:40,06628333000146,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,PJ,3,Demais,,,BRA,2400.0,5.0,12000.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001124/2024,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1124/itens/2/resultados,1,1,Informado,2025-01-31T09:02:44,2025-01-31T09:02:44,28911309000152,ESPIRITO SANTO DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,PJ,3,Demais,,,BRA,12000.0,3.9,46800.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001124/2024,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1124/itens/3/resultados,1,1,Informado,2025-01-31T09:02:48,2025-01-31T09:02:48,08778201000126,DROGAFONTE LTDA,PJ,3,Demais,,,BRA,100.0,12.4,1240.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001124/2024,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1124/itens/4/resultados,1,1,Informado,2025-01-31T09:02:53,2025-01-31T09:02:53,49324221002077,FRESENIUS KABI BRASIL LTDA,PJ,3,Demais,,,BRA,1200.0,7.0,8400.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001124/2024,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1124/itens/5/resultados,1,1,Informado,2025-01-31T09:02:57,2025-01-31T09:02:57,48495866000147,BEMED COMERCIO ATACADISTA DE PRODUTOS DE HIGIENE PESSOAL LTDA,PJ,1,ME,,,BRA,24000.0,0.0395,948.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001124/2024,6,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1124/itens/6/resultados,1,1,Informado,2025-01-31T09:03:02,2025-01-31T09:03:02,08778201000126,DROGAFONTE LTDA,PJ,3,Demais,,,BRA,4800.0,10.98,52704.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001124/2024,7,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1124/itens/7/resultados,1,1,Informado,2025-01-31T09:03:06,2025-01-31T09:03:06,02896042000188,REALMED- COM. PROD. MED. HOSPITALARES LTDA,PJ,3,Demais,,,BRA,1200.0,180.0,216000.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001124/2024,9,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1124/itens/9/resultados,1,1,Informado,2025-01-31T09:03:11,2025-01-31T09:03:11,06628333000146,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,PJ,3,Demais,,,BRA,3600.0,3.7,13320.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001124/2024,10,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1124/itens/10/resultados,1,1,Informado,2025-01-31T09:03:15,2025-01-31T09:03:15,08778201000126,DROGAFONTE LTDA,PJ,3,Demais,,,BRA,6000.0,0.36,2160.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
