numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
89658025000190-1-000100/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/89658025000190/compras/2025/100/itens/5/resultados,1,1,Informado,2025-11-10T16:31:37,2025-11-10T16:31:37,11145401000156,LA DALLAPORTA JUNIOR,PJ,3,Demais,,,BRA,8.0,169.23,1353.84,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
89658025000190-1-000100/2025,6,https://pncp.gov.br/api/pncp/v1/orgaos/89658025000190/compras/2025/100/itens/6/resultados,1,1,Informado,2025-11-10T16:31:39,2025-11-10T16:31:39,11145401000156,LA DALLAPORTA JUNIOR,PJ,3,Demais,,,BRA,10.0,126.9,1269.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
89658025000190-1-000100/2025,7,https://pncp.gov.br/api/pncp/v1/orgaos/89658025000190/compras/2025/100/itens/7/resultados,1,1,Informado,2025-11-10T16:31:41,2025-11-10T16:31:41,11145401000156,LA DALLAPORTA JUNIOR,PJ,3,Demais,,,BRA,20.0,6.95,139.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
22404257000141-1-000052/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/22404257000141/compras/2025/52/itens/2/resultados,1,1,Informado,2025-10-02T09:07:04,2025-10-02T09:07:04,09183224000150,O ESCOLAR COMERCIO E SERVICOS LTDA,PJ,3,Demais,,,BRA,800.0,6.9,5520.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000712/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/712/itens/1/resultados,1,1,Informado,2025-10-08T14:13:34,2025-10-08T14:13:34,01722296000117,PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,PJ,3,Demais,,,BRA,200.0,3.9,780.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000712/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/712/itens/2/resultados,1,1,Informado,2025-10-08T14:13:35,2025-10-08T14:13:35,01722296000117,PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,PJ,3,Demais,,,BRA,25.0,104.0,2600.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000712/2025,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/712/itens/3/resultados,1,1,Informado,2025-10-08T14:13:35,2025-10-08T14:13:35,01722296000117,PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,PJ,3,Demais,,,BRA,25.0,210.0,5250.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000727/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/727/itens/1/resultados,1,1,Informado,2025-10-15T12:04:06,2025-10-15T12:04:06,12420164002109,CM HOSPITALAR S.A.,PJ,3,Demais,,,BRA,3680.0,1666.34,6132131.2,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000719/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/719/itens/1/resultados,1,1,Informado,2025-10-15T12:04:23,2025-10-15T12:04:23,48423070000189,ALMEIDA ALEXANDRINO FARMÁCIA DE MANIPULAÇÕES LTDA,PJ,1,ME,,,BRA,190000.0,1.26,239400.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000720/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/720/itens/1/resultados,1,1,Informado,2025-10-15T12:04:24,2025-10-15T12:04:24,41778326000121,MED & FARMA COMERCIO ATACADISTA MEDICAMENTOS LTDA,PJ,1,ME,,,BRA,3000.0,5.79,17370.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000720/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/720/itens/2/resultados,1,1,Informado,2025-10-15T12:04:24,2025-10-15T12:04:24,41778326000121,MED & FARMA COMERCIO ATACADISTA MEDICAMENTOS LTDA,PJ,1,ME,,,BRA,5000.0,8.69,43450.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000720/2025,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/720/itens/3/resultados,1,1,Informado,2025-10-15T12:04:25,2025-10-15T12:04:25,01545179000125,GMC DISTRIBUIDORA HOSPITALAR LTDA,PJ,1,ME,,,BRA,100.0,17.99,1799.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001278/2024,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1278/itens/1/resultados,1,1,Informado,2025-10-15T12:04:47,2025-10-15T12:04:47,32786481000107,BELOFARMA LTDA,PJ,2,EPP,,,BRA,28000.0,4.15,116200.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001278/2024,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1278/itens/2/resultados,1,1,Informado,2025-10-15T12:04:47,2025-10-15T12:04:47,32786481000107,BELOFARMA LTDA,PJ,2,EPP,,,BRA,3600.0,16.2,58320.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001278/2024,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1278/itens/3/resultados,1,1,Informado,2025-10-15T12:04:47,2025-10-15T12:04:47,04922653000189,NORDESTE HOSPITALAR IMPORTACAO E EXPORTACAO LTDA,PJ,3,Demais,,,BRA,2800.0,0.22,616.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001278/2024,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1278/itens/4/resultados,1,1,Informado,2025-10-15T12:04:48,2025-10-15T12:04:48,04922653000189,NORDESTE HOSPITALAR IMPORTACAO E EXPORTACAO LTDA,PJ,3,Demais,,,BRA,900.0,11.05,9945.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
