"endpoint","numeroItem","codigo_pdm","descricao","unidadeMedida"
"https://pncp.gov.br/api/pncp/v1/orgaos/11870726000100/compras/2023/10/itens",8,"1289","DISPOSITIVO PARA TESTE DE CKMB  EM UM SO PASSO SANGUE TOTAL  SORO  PLASMA","KIT"
"https://pncp.gov.br/api/pncp/v1/orgaos/75743377000130/compras/2024/124/itens",10,"17821","IODOPOVIDONA (PVPI), CONCENTRAÇÃO:A 10% ( TEOR DE IODO 1% ), FORMA FARMACEUTICA:SOLUÇÃO TÓPICA AQUOSA, 100 ML","UNIDADE"
"https://pncp.gov.br/api/pncp/v1/orgaos/45550167000164/compras/2024/61/itens",1,"1872","ACIDO ASCORBICO 100MG/ML 5ML*","AMPOLA"
"https://pncp.gov.br/api/pncp/v1/orgaos/45351749000111/compras/2024/12/itens",10,"1289","a) Classificação/ Características gerais: Fórmula infantil com proteínas modificadas em relação a caseína/proteínas do soro do leite, enriquecida com ferro, carboidratos no mínimo 50% lactose, densidade calórica mínima de 60 kcal e máxima de 70 Kcal/100ml, isenta de glúten, em pó com diluição instantânea, indicado para lactentes desde à partir do 6º mês de vida. Atendendo todas as recomendações do Codex Alimentarius FAO/OMS e da Portaria M.S. nº 977/1998. Embalagem primária em latas de 800g. contendo Registro no Ministério da Saúde e/ou Ministério da Agricultura. Validade no mínimo 6 meses a partir da entrega.","LATA"
"https://pncp.gov.br/api/pncp/v1/orgaos/32479123000143/compras/2024/33/itens",3,"15458","Vacina tipo: adsorvida, composição: l. bataviae, l. carnicola, l. copenhagi, outros componentes: l. grippotyphosa, l. hardjo, l.icterohaemorrhagiae, componentes adicionais: l. pomona, l. pyrogenes, l. tarassovi, l. wolffii, forma farmacêutica: suspensão injetável, aplicação*: uso veterinário","Doses"
"https://pncp.gov.br/api/pncp/v1/orgaos/04092706000181/compras/2024/178/itens",4187977,"1824","Acetilcisteína 100mg/ml Solução injetável ampola 3ml","Ampola"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394429000100/compras/2023/1905/itens",4,"12702","Tetracaína Cloridrato composição: associada à fenilefrina, concentração: 1% + 0,1%, forma farmaceutica: solução oftálmica","Frasco 10 ML"
"https://pncp.gov.br/api/pncp/v1/orgaos/07861703000153/compras/2024/149/itens",5,"18239","CARVÃO VEGETAL ATIVADO 250","UN"
"https://pncp.gov.br/api/pncp/v1/orgaos/46199253000137/compras/2024/4/itens",1,"5400","PALCO PEQUENO: • 6 metros de largura; • 4,5 metros de profundidade; • Torres de pé direito de estrutura metálica em Q30 com 5 metros de Altura, por toda sua extensão; • 1,0 m de Altura do chão ao piso, em toda sua extensão; • Piso com placas de madeira naval de 17mm, nivelado e com acabamento liso; • Cobertura em lonas antichamas ou zinco; • Escada com degraus, antiderrapante, de acordo com as normas da ABNT; • Fechamentos de fundo e lateral com tapadeiras pretas, antichamas; • Grades de segurança lateral e fundo de palco; • Piso em estruturas metálicas em aço chapa 15mm ou treliçado (30x30); • 01 Extintor de pó químico e 01 extintor de água pressurizada, obedecendo ao projeto de","DIA"
"https://pncp.gov.br/api/pncp/v1/orgaos/01609843000152/compras/2024/53/itens",1306623,"4803","BR0267151 - CETOCONAZOL 200MG COMPRIMIDO.","UN"
