numeroItem,descricao,materialOuServico,materialOuServicoNome,valorUnitarioEstimado,valorTotal,quantidade,unidadeMedida,orcamentoSigiloso,itemCategoriaId,itemCategoriaNome,patrimonio,codigoRegistroImobiliario,criterioJulgamentoId,criterioJulgamentoNome,situacaoCompraItem,situacaoCompraItemNome,tipoBeneficio,tipoBeneficioNome,incentivoProdutivoBasico,dataInclusao,dataAtualizacao,temResultado,imagem,aplicabilidadeMargemPreferenciaNormal,aplicabilidadeMargemPreferenciaAdicional,percentualMargemPreferenciaNormal,percentualMargemPreferenciaAdicional,ncmNbsCodigo,ncmNbsDescricao,catalogo,categoriaItemCatalogo,catalogoCodigoItem,informacaoComplementar,endpoint,status_code,clean_descricao,codigo_pdm,endpoint_resultado,endpoint_contratacao
10,ACIDO VALPROICO 500MG,M,Material,0.6618,200922.48,303600,CP,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,4,Sem benefício,FALSE,2024-09-06T12:03:28Z,2024-12-09T09:35:45Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/01488169000103/compras/2024/2/itens,200,acido valproico mg,2036,https://pncp.gov.br/api/pncp/v1/orgaos/01488169000103/compras/2024/2/itens/10/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/01488169000103/compras/2024/2
7,ACIDO ASCORBICO 200MG/ML,M,Material,1.34,1340,1000,FRASCO,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,5,Não se aplica,FALSE,2024-12-03T09:29:15Z,2025-01-13T12:28:12Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/08087561000181/compras/2024/254/itens,200,acido ascorbico mg ml,1872,https://pncp.gov.br/api/pncp/v1/orgaos/08087561000181/compras/2024/254/itens/7/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/08087561000181/compras/2024/254
6,Leuprorrelina acetato,M,Material,0,0,113,Seringa,TRUE,3,Não se aplica,NA,NA,1,Menor preço,4,Deserto,1,Participação exclusiva para ME/EPP,FALSE,2024-08-21T09:17:05Z,2024-09-05T09:30:00Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/46068425000133/compras/2024/698/itens,200,leuprorrelina acetato,1782,https://pncp.gov.br/api/pncp/v1/orgaos/46068425000133/compras/2024/698/itens/6/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/46068425000133/compras/2024/698
10,"(5533376) - ALCOOL ETILICO A 70% - CONCENTRACAO/DOSAGEM A 70%,FORMA DE APRESENTACAO EM  REFIL,FORMA FARMACEUTICA  EM ESPUMA,INDICACAO DE USO: ANTISSEPTICO, DESINFETANTE RECIPIENTE (DISPENSER) PARA FIXACAO EM PAREDE OU SUPERFICIE , POR COMODATO",M,Material,8.9333,214.3992,24,L,FALSE,3,Não se aplica,NA,NA,7,Não se aplica,1,Em andamento,4,Sem benefício,FALSE,2024-09-09T11:53:59Z,2024-09-09T11:53:59Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/10572048000128/compras/2024/1156/itens,200,alcool etilico a concentracao dosagem a forma de apresentacao em refil forma farmaceutica em espuma indicacao de uso antisseptico desinfetante recipiente dispenser para fixacao em parede ou superficie por comodato,2259,https://pncp.gov.br/api/pncp/v1/orgaos/10572048000128/compras/2024/1156/itens/10/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/10572048000128/compras/2024/1156
10,"Formula infantil de seguimento em po, adicionada de prebioticos 0,4 A 0,8g/100ml. Contem LcPUFAs DHA E ARA e nucleotideos. Densidade calorica 67 a 68 Kcal/100ml. Possui 12% de proteinas lacteas (relacao caseina/proteinas do soro 50:50 ou 60:40). 100% lactose. Embalagem a partir de 400g.Formula infantil de seguimento em po, adicionada de prebioticos 0,4 A 0,8g/100ml. Contem LcPUFAs DHA E ARA e nucleotideos. Densidade calorica 67 a 68 Kcal/100ml. Possui 12% de proteinas lacteas (relacao caseina/proteinas do soro 50:50 ou 60:40). 100% lactose. Embalagem a partir de 400g.",M,Material,71.27,78397,1100,Lata,FALSE,3,Não se aplica,NA,NA,1,Menor preço,1,Em andamento,1,Participação exclusiva para ME/EPP,FALSE,2024-09-19T11:12:24Z,2024-09-19T11:12:24Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/01613167000190/compras/2024/144/itens,200,formula infantil de seguimento em po adicionada de prebioticos a g ml contem lcpufas dha e ara e nucleotideos densidade calorica a kcal ml possui de proteinas lacteas relacao caseina proteinas do soro ou lactose embalagem a partir de g formula infantil de seguimento em po adicionada de prebioticos a g ml contem lcpufas dha e ara e nucleotideos densidade calorica a kcal ml possui de proteinas lacteas relacao caseina proteinas do soro ou lactose embalagem a partir de g,1289,https://pncp.gov.br/api/pncp/v1/orgaos/01613167000190/compras/2024/144/itens/10/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/01613167000190/compras/2024/144
1,Octreotida,M,Material,62.1807,2081809.83,33480,"Ampola 1,00 ML",FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,5,Não se aplica,FALSE,2024-11-28T07:07:30Z,2024-12-17T08:50:06Z,TRUE,0,FALSE,FALSE,NA,NA,30043929,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/10208/itens,200,octreotida,10144,https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/10208/itens/1/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/10208
10,Miconazol Nitrato,M,Material,4.47,715.2,160,Bisnaga 28 G,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,5,Não se aplica,FALSE,2024-08-30T07:45:13Z,2024-09-19T13:55:20Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/46381000002123/compras/2024/31/itens,200,miconazol nitrato,9717,https://pncp.gov.br/api/pncp/v1/orgaos/46381000002123/compras/2024/31/itens/10/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/46381000002123/compras/2024/31
7,Dexametasona 0 1 mg ml elixir  frasco com 120 ml  via de administracao oral  uso adulto e pediatrico.   Embalagem unitaria.,M,Material,2.9,29,10,UNIDADE,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,5,Não se aplica,FALSE,2024-08-01T12:21:34Z,2024-08-01T12:26:39Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/14986862000140/compras/2024/21/itens,200,dexametasona mg ml elixir frasco com ml via de administracao oral uso adulto e pediatrico embalagem unitaria,6143,https://pncp.gov.br/api/pncp/v1/orgaos/14986862000140/compras/2024/21/itens/7/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/14986862000140/compras/2024/21
2,SORO GLICOFISIOLOGICO 0500ML,M,Material,287.5,862.5,3,UN,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,5,Não se aplica,FALSE,2024-08-08T14:40:08Z,2024-08-08T15:31:11Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/11479560000197/compras/2024/47/itens,200,soro glicofisiologico ml,1289,https://pncp.gov.br/api/pncp/v1/orgaos/11479560000197/compras/2024/47/itens/2/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/11479560000197/compras/2024/47
1,Probiótico,M,Material,7.44,34596,4650,Comprimido,FALSE,3,Não se aplica,NA,NA,1,Menor preço,1,Em andamento,5,Não se aplica,FALSE,2024-11-12T07:20:20Z,2024-11-12T07:20:20Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/29112760000172/compras/2024/96/itens,200,probiotico,19584,https://pncp.gov.br/api/pncp/v1/orgaos/29112760000172/compras/2024/96/itens/1/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/29112760000172/compras/2024/96
