"endpoint","numeroItem","descricao","materialOuServico","materialOuServicoNome","valorUnitarioEstimado","valorTotal","quantidade","unidadeMedida","orcamentoSigiloso","itemCategoriaId","itemCategoriaNome","patrimonio","codigoRegistroImobiliario","criterioJulgamentoId","criterioJulgamentoNome","situacaoCompraItem","situacaoCompraItemNome","tipoBeneficio","tipoBeneficioNome","incentivoProdutivoBasico","dataInclusao","dataAtualizacao","temResultado","imagem","aplicabilidadeMargemPreferenciaNormal","aplicabilidadeMargemPreferenciaAdicional","percentualMargemPreferenciaNormal","percentualMargemPreferenciaAdicional","ncmNbsCodigo","ncmNbsDescricao","clean_descricao","codigo_pdm"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",3,"Ondansetrona Cloridrato","M","Material",4.19,628.5,150,"Ampola 4,00 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-19 14:04:16,FALSE,0,NA,NA,NA,NA,NA,NA,"ondansetrona cloridrato","10217"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",4,"Benzilpenicilina","M","Material",6.43,643,100,"Frasco-Ampola",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-16 12:00:14,FALSE,0,NA,NA,NA,NA,NA,NA,"benzilpenicilina","365"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",5,"Amoxicilina","M","Material",2.14,107,50,"Comprimido",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-16 12:00:15,FALSE,0,NA,NA,NA,NA,NA,NA,"amoxicilina","2436"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",6,"Pantoprazol","M","Material",9.68,677.6,70,"Frasco-Ampola",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-16 12:00:15,FALSE,0,NA,NA,NA,NA,NA,NA,"pantoprazol","10348"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",7,"Pantoprazol","M","Material",0.15,45,300,"Comprimido",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-16 12:00:15,FALSE,0,NA,NA,NA,NA,NA,NA,"pantoprazol","10348"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",8,"Dipirona Sódica","M","Material",0.12,240,2000,"Comprimido",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-16 12:00:16,FALSE,0,NA,NA,NA,NA,NA,NA,"dipirona sodica","17708"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",9,"Escopolamina Butilbrometo","M","Material",2.85,855,300,"Ampola 5,00 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-16 12:00:16,FALSE,0,NA,NA,NA,NA,NA,NA,"escopolamina butilbrometo","8254"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",10,"Escopolamina Butilbrometo","M","Material",0.3,300,1000,"Comprimido",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-16 12:00:16,FALSE,0,NA,NA,NA,NA,NA,NA,"escopolamina butilbrometo","8254"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394494000136/compras/2023/73",1,"Brinzolamida","M","Material",139.53,2092.95,15,"Frasco 8 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-03-09 12:00:51,2023-03-21 20:15:44,TRUE,0,NA,NA,NA,NA,NA,NA,"brinzolamida","15104"
"https://pncp.gov.br/api/pncp/v1/orgaos/13898581000172/compras/2023/8",1,"Álcool Etílico","M","Material",16.17,14326.62,886,"Litro ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-10-19 12:23:42,2023-10-31 13:56:56,TRUE,0,NA,NA,NA,NA,NA,NA,"alcool etilico","2259"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394494000136/compras/2023/247",1,"Esomeprazol","M","Material",4.43,2215,500,"Comprimido ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-06-06 13:05:17,2023-06-22 14:43:55,TRUE,0,NA,NA,NA,NA,NA,NA,"esomeprazol","17885"
"https://pncp.gov.br/api/pncp/v1/orgaos/10825373000155/compras/2023/64",1,"Álcool etílico","M","Material",22.83,228.3,10,"Frasco 1000 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-11-01 20:57:45,2023-11-23 13:44:48,TRUE,0,NA,NA,NA,NA,NA,NA,"alcool etilico","2259"
"https://pncp.gov.br/api/pncp/v1/orgaos/10825373000155/compras/2023/64",3,"Cloreto de sódio","M","Material",1.01,50.5,50,"Ampola 10 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-11-01 20:57:45,2023-11-23 13:44:49,TRUE,0,NA,NA,NA,NA,NA,NA,"cloreto de sodio","5118"
"https://pncp.gov.br/api/pncp/v1/orgaos/10825373000155/compras/2023/64",6,"Diclofenaco","M","Material",19.14,191.4,10,"Frasco 85 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-11-01 20:57:45,2023-11-23 13:44:51,TRUE,0,NA,NA,NA,NA,NA,NA,"diclofenaco","6171"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394460000141/compras/2023/1245",7,"Álcool Etílico Limpeza De Ambientes","M","Material",6.19,2154.12,348,"Frasco 1 L",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-11-07 16:55:27,2023-11-20 20:16:58,TRUE,0,NA,NA,NA,NA,NA,NA,"alcool etilico limpeza de ambientes","2259"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394460000141/compras/2023/1245",8,"Álcool Etílico Limpeza De Ambientes","M","Material",10.1,151.5,15,"Frasco 1 L",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-11-07 16:55:27,2023-11-20 20:16:58,TRUE,0,NA,NA,NA,NA,NA,NA,"alcool etilico limpeza de ambientes","2259"
"https://pncp.gov.br/api/pncp/v1/orgaos/24464109000148/compras/2023/36",2,"Álcool etílico","M","Material",12.4,830.8,67,"Litro",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",5,"Não se aplica",FALSE,2023-08-11 10:03:02,2023-08-11 10:03:02,TRUE,0,NA,NA,NA,NA,NA,NA,"alcool etilico","2259"
"https://pncp.gov.br/api/pncp/v1/orgaos/24464109000148/compras/2023/36",3,"Álcool etílico","M","Material",34,4964,146,"Litro",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",1,"Participação exclusiva para ME/EPP",FALSE,2023-08-11 10:03:02,2023-08-11 10:03:02,TRUE,0,NA,NA,NA,NA,NA,NA,"alcool etilico","2259"
"https://pncp.gov.br/api/pncp/v1/orgaos/24464109000148/compras/2023/36",10,"Enxofre","M","Material",0.03,30,1000,"Grama",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",1,"Participação exclusiva para ME/EPP",FALSE,2023-08-11 10:03:02,2023-08-11 10:03:02,TRUE,0,NA,NA,NA,NA,NA,NA,"enxofre","7243"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394544000185/compras/2023/499",1,"Brentuximabe Vedotina","M","Material",13832.41,705452.91,51,"Frasco-Ampola ",FALSE,3,"Não se aplica",NA,NA,7,"Não se aplica",2,"Homologado",4,"Sem benefício",FALSE,2023-07-25 18:10:44,2023-07-25 18:10:46,TRUE,0,NA,NA,NA,NA,NA,NA,"brentuximabe vedotina","12212"
