"codigo_grupo","nome_grupo","codigo_classe","nome_classe","codigo_pdm","nome_pdm","codigo_br","nome_item","desc_item","item_suspenso","item_ativo","desc_item_ativo","item_sustentavel","desc_item_sustentavel"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","14597","Petrolato","233632","Petrolato, Aspecto Físico:Líquido, Tipo:Laxativo, Uso:Oral","233632 - Petrolato, Aspecto Físico:Líquido, Tipo:Laxativo, Uso:Oral",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","8325","Imunoglobulina Humana","260160","Imunoglobulina Humana, Tipo:Hiper Imuni Para Hepatite B, Dosagem:50 Ui/Ml, Apresentação:Solução Injetável","260160 - Imunoglobulina Humana, Tipo:Hiper Imuni Para Hepatite B, Dosagem:50 Ui/Ml, Apresentação:Solução Injetável",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","3924","Fenoterol Bromidrato","266532","Fenoterol Bromidrato, Dosagem:0,2mg / Dose, Apresentação:Aerossol, Frasco Dosificador + Aerocâmara","266532 - Fenoterol Bromidrato, Dosagem:0,2mg / Dose, Apresentação:Aerossol, Frasco Dosificador + Aerocâmara",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","17667","Arteméter","266665","Arteméter, Dosagem:80 MG/ML, Apresentação:Solução Injetável","266665 - Arteméter, Dosagem:80 MG/ML, Apresentação:Solução Injetável",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","3946","Budesonida","266699","Budesonida, Apresentação:Aerossol Bucal, Concentração:50mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora","266699 - Budesonida, Apresentação:Aerossol Bucal, Concentração:50mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","3946","Budesonida","266700","Budesonida, Apresentação:Aerossol Bucal, Concentração:200mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora","266700 - Budesonida, Apresentação:Aerossol Bucal, Concentração:200mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","3946","Budesonida","266701","Budesonida, Apresentação:Aerossol Nasal, Concentração:50mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora","266701 - Budesonida, Apresentação:Aerossol Nasal, Concentração:50mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","3946","Budesonida","266703","Budesonida, Apresentação:Pó Inalante, Concentração:100mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora","266703 - Budesonida, Apresentação:Pó Inalante, Concentração:100mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","3946","Budesonida","266704","Budesonida, Apresentação:Pó Inalante, Concentração:200mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora","266704 - Budesonida, Apresentação:Pó Inalante, Concentração:200mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
"65","EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO","6505","DROGAS E MEDICAMENTOS","3946","Budesonida","266705","Budesonida, Apresentação:Aerossol Nasal, Concentração:100mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora","266705 - Budesonida, Apresentação:Aerossol Nasal, Concentração:100mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",FALSE,TRUE,"Ativo",FALSE,"NÃO SUSTENTAVEL"
