marca,quantidade
4.500.000 UI CX c/10,1
4.500.000 UI Cx c/10,2
40 EST. X 1 AMP. X 4,8
402850-500G - CALCIU,1
40MGSOL IN CT 10SER,1
440GRS,1
459844-1L,1
"46,5° INPM",1
4RIO QUIMICA,1
5 CAN 3 ML,2
5 LITROS,4
5 LTS,1
5 Lts,1
5 PCC SOL INJ CT FA,5
"5 REFIS COM 3,0 ML",1
5 litros,1
5 ref e ml,1
5 refil X3ML,1
5 tub 3 ml,2
5.000.000 UI PO INJ,1
5.000.000UI PO 50FA,1
5.000.000UI PO | CX,1
"5.000.000ui, Uso: In",1
50 BLISTERS COM 10 C,2
50 M,1
50-81-7  100 gr,1
50/1000 CX C/ 56,1
50/1000 MG CX C/ 60,2
50/1000 mg x 60,1
50/1000MG CX C/ 56,1
50/500MG CX C/ 56,1
50/MG (30ML)-AS/ANVI,1
500 CP,3
500 GRAMAS,2
500+100 CX COM 20,3
500GR,1
500GRS / MULTI USO,1
500gr,1
50BLT X 10CPR GEN\1.,1
50M G/MLSOLINJCT5AMP,1
"50carp. x 1,8ml - RM",1
5158-9,1
560102 - TRO EXTENSO,1
57.013.773/0001-20,1
5X2ML,4
6 BOLSAS PLAST X 100,1
6 BOLSAS PLAST. X 10,2
6 BOLSAS X 100ML - R,2
6 bolsas x 100ml - R,1
6/200mcg C/60caps+in,1
6/200mcg fr c/120dos,1
60 BIS. X 50G - RMS,2
"60,G",1
60.665.981/0001-18,1
600 CP,1
600102 - TRO SOLUSET,1
60356-1KG,1
60MGSOL INJ C/2SER P,1
60MGSOL INJ CT 2SER,1
69-52-3 FC/25 GR,1
69-52-3 FC/5 GR,1
6MKG C/30 CP - 1023,1
70 1L,1
70 1l,1
70 5L,1
70 INPM,1
70° 1 LITRO,1
70° LIQUIDO 1L,1
70º,1
70º - 1L,1
70º° INPM,1
71376-1KG,1
7153 - INELATTE ZERO,1
7393 - PEDIANUTRI ?,1
754242-1G,1
76-03-9 FC/500GR,1
7681-11-0  KG,1
77ºGl,1
80185570001/Bolsa 10,1
80MGSOL INJ C/10SER,1
81260-5KG,1
8177 - CHLORCLEAR,1
88316 - CHLORDERM,1
8916 - DUOSOL COM 2,1
"92,8 - 1000ML",1
"92,8 INPM - 1000ML",1
"92,8 INPM 5 LITROS",1
9508-02,1
95° 1000ML,1
960 CP,1
96° - 1 litro,1
: BAMIFIX 600MG 20 C,2
A0166-100G AMPICILLI,1
A12327.50MG,1
AAS 100MG,1
AAS PROTECT / RMS 17,1
ALCCOL 70 100ML ALMO,1
ALCLEAN 70 5L,1
ALCOL 70 1 LITRO,1
ALCOM,1
ALCOOL 1000ML,1
ALCOOL 1L,1
ALCOOL 70 100 ML ALM,1
ALCOOL 70 1000 ML AN,1
ALCOOL 70 1000ML,2
ALCOOL 70 1000ML ANT,1
ALCOOL 70 100ML,1
ALCOOL 70 100ML ALMO,4
ALCOOL 70 1L,4
ALCOOL 70 1L CX12UN,1
ALCOOL 70 GEL GL 5 L,1
ALCOOL 70 LIQUIDO,1
ALCOOL 70 LITRO,1
ALCOOL 70% 1 LITRO,1
ALCOOL 70% 1000ML,1
ALCOOL 70% 100ML,1
ALCOOL 70% 1L,5
ALCOOL 70% 1L C/12 L,1
ALCOOL 70% LIQ 1 L C,2
ALCOOL 70% LIQUIDO,1
ALCOOL 70% LIQUIDO 1,2
ALCOOL 70% LITRO,1
ALCOOL 70%/GEL 500ML,1
ALCOOL 70%/LIQ 01 L,1
ALCOOL 96 LITRO,1
ALCOOL 96° 1L,1
ALCOOL 96º FRASCO 1,1
ALCOOL EM GEL 70 1L,1
ALCOOL EM GEL 70 °,1
ALCOOL ETILICO 1L,1
ALCOOL ETILICO 5L,1
ALCOOL ETILICO LIQUI,3
ALCOOL GEL 500 ML,1
ALCOOL GEL 500ML,2
ALCOOL GEL 70 800G,1
ALCOOL GEL 70% 1L,1
ALCOOL GEL 70% 500ML,3
ALCOOL GEL 70% 5L,1
ALCOOL GEL 70º 500ML,1
ALCOOL GEL 70º 5L,1
ALCOOL GEL COM VALVU,1
ALCOOL LIQ 70% 01L,1
ALCOOL LIQ 70% 1L,2
ALCOOL LIQ 70% 500ML,1
ALCOOL LIQ. 1L,1
ALCOOL LIQUIDO,1
ALCOOL LIQUIDO 70 1L,1
ALCOOL LIQUIDO 70% -,1
ALCOOL LIQUIDO 70% 1,7
"ALCOOL LIQUIDO 92,8",1
ALCOOL LIQUIDO FLOPS,1
ALECENSA 150 MG CAP,1
ALECENSA 150MG,3
ALENIA - REGISTRO 1.,3
ALENIA 12/400 CAIXA,1
ALENIA 12/400 MCG 60,1
ALENIA 12/400MCG CA,1
ALENIA 6+200MCG \ AC,1
ALENIA 6/200MCG 60 C,1
ALENIA Registro Anvi,1
"ALENIA, FR 60 DOSES,",1
ALFAEPOETINA 1.000UI,1
ALFAEPOETINA 4.000UI,6
"ALFAST 0,544MG/ML",4
"ALFAST 0,544MG/ML  A",1
"ALFAST 0,544MG/ML 5M",3
"ALFAST 0,544MG/ML RM",1
"ALFAST 0,544MG/ML SO",5
"ALFAST 0,544MG/ML X",1
"ALFAST 0,544mg/mL -",5
"ALFAST 0,544mg/mL X",1
ALFAST 5ML - 1029801,2
ALFAST 5ML RMS 10298,4
ALFAST 5ML RMS: 1.02,2
ALFAST 5ML RMS: 1029,1
ALFAST 5ML-102980132,1
"ALFENTANILA 0,544 MG",2
ALGY FLANDERIL 300MG,1
ALKERAN 2 MG COM REV,1
ALKERAN 50MG INJETAV,1
"ALMOTOLIA
100ML",1
AT05765RA/ FRASCO 1,1
Ezetrol 10mg 30cpr,1
F & F DISTRIBUIDORA,3
F/A  apres.cx c/20 f,1
F/A 10ML CX COM 1,1
F/A 50ml/RMS: 1.0151,1
F/A COM 1ML / ANVISA,1
F/A COM 2ML /  ANVIS,1
F/A COM 2ML / ANVISA,1
F/A CX C/01,2
F/A/Registro M.S.: 1,1
F/A/Registro no M.S.,1
F/a 1 g CX c/10 f/a,1
F/a 1 g CX c/10f/a,1
F/a 1 g CX c/25f/a,1
F/a 1 g CX c/50 f/a,10
F/a 1 g CX c/50f/a,3
F/a 1 g Cx c/ 10 f/a,1
F/a 1 g Cx c/10f/a,1
F/a 1 g Cx c/25 f/a,1
F/a 1 g Cx c/50 f/a,4
F/a 1 g Cx c/50f/a,1
F/a 2 g CX c/10 f/a,2
F/a 2 g Cx c/10 f/a,1
F/a 500 mg CX c/10f/,1
F/a 500 mg Cx c/25f/,1
F/a 500mg CX c/25f/a,1
F/a 500mg Cx c/25 f/,2
F/a 500mg Cx c/25f/a,1
F/a 750 mg Cx c/50 f,1
F/a1g,1
FRA,2
FRA/AMP,3
FRACO/AMPOLA,1
"FRACONETE 0,4ML",1
FRAS,5
"FRASC C
/1000ML",1
"FRASC C
/100ML",2
"FRASC C
/15ML",1
"FRASC C
/20ML",1
FRASC C/1000ML,1
FRASC C/100ML,2
FRASC0 AMPOLA,1
FRASCO250ML SISTEMA,1
FRASCOAMPOLA,2
FRASCOQ,1
FRASCP- SISTEMA FECH,1
FRC,8
Mytedom,116
FRONTAL / MYLAN,1
FRONTAL 1MG 30CP,1
FRONTAL 2MG 30CP,1
"FRONTAL XR 0,5MG. c",1
FRONTAL XR 1MG. c /,1
FROTY`S,2
FRS,57
FRS - RMS 1057101540,1
FRS /AMP,2
FRS 100ML,1
FRS 1542302550065,1
FRS AMP,1
