numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
08778268000160-1-000804/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/804/itens/2/resultados,1,1,Informado,2025-11-05T09:02:55,2025-11-05T09:02:55,48214791000189,ALFORCE MEDICAMENTOS LTDA,PJ,1,ME,,,BRA,25.0,821.43,20535.75,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000818/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/818/itens/1/resultados,1,1,Informado,2025-11-08T09:05:56,2025-11-08T09:05:56,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,16000.0,1.7,27200.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000818/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/818/itens/2/resultados,1,1,Informado,2025-11-08T09:05:57,2025-11-08T09:05:57,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,75000.0,0.45,33750.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000819/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/819/itens/1/resultados,1,1,Informado,2025-11-08T09:05:57,2025-11-08T09:05:57,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,16000.0,1.7,27200.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000819/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/819/itens/2/resultados,1,1,Informado,2025-11-08T09:05:58,2025-11-08T09:05:58,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,75000.0,0.45,33750.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000820/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/820/itens/1/resultados,1,1,Informado,2025-11-08T09:05:58,2025-11-08T09:05:58,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,16000.0,1.7,27200.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000820/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/820/itens/2/resultados,1,1,Informado,2025-11-08T09:05:58,2025-11-08T09:05:58,03149182000155,CLINUTRI LTDA.,PJ,3,Demais,,,BRA,75000.0,0.45,33750.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000841/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/841/itens/1/resultados,1,1,Informado,2025-11-15T09:04:17,2025-11-15T09:04:17,41778326000121,MED & FARMA COMERCIO ATACADISTA MEDICAMENTOS LTDA,PJ,1,ME,,,BRA,500.0,0.11,55.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000841/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/841/itens/2/resultados,1,1,Informado,2025-11-15T09:04:17,2025-11-15T09:04:17,41778326000121,MED & FARMA COMERCIO ATACADISTA MEDICAMENTOS LTDA,PJ,1,ME,,,BRA,2000.0,0.04,80.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000841/2025,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/841/itens/4/resultados,1,1,Informado,2025-11-15T09:04:18,2025-11-15T09:04:18,23680034000170,D.ARAUJO COMERCIO ATACADISTA LTDA,PJ,1,ME,,,BRA,50.0,0.64,32.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
