numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
11431327000134-1-000079/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/11431327000134/compras/2025/79/itens/2/resultados,1,1,Informado,2025-08-08T11:15:04,2025-08-08T11:15:04,29720897000100,ENDOMAC COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA,PJ,3,Demais,2062.0,Sociedade Empresária Limitada,BRA,25.0,29.47,736.75,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,0001-01-01,,,,,,,
87612743000109-1-000160/2024,7,https://pncp.gov.br/api/pncp/v1/orgaos/87612743000109/compras/2024/160/itens/7/resultados,1,1,Informado,2024-05-22T15:14:53,2024-05-22T15:14:53,22525517000137,JF COMERCIO DE MATERIAL E MEDICAMENTOS HOSPITALARES LTDA,PJ,1,ME,,,BRA,150.0,6.8,1020.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
08778268000160-1-000483/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/483/itens/1/resultados,1,1,Informado,2025-08-07T09:09:35,2025-08-07T09:09:35,08674752000140,CIRURGICA MONTEBELLO LTDA,PJ,3,Demais,,,BRA,310.0,182.3,56513.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000488/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/488/itens/2/resultados,1,1,Informado,2025-08-07T09:13:20,2025-08-07T09:13:20,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,60.0,9.85,591.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000491/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/491/itens/5/resultados,1,1,Informado,2025-08-09T09:11:38,2025-08-09T09:11:38,60281355000128,60.281.355 THIAGO JUNIO GOMES DA SILVA,PJ,1,ME,,,BRA,6.0,14.65,87.9,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000510/2025,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/510/itens/4/resultados,1,1,Informado,2025-08-12T09:03:12,2025-08-12T09:03:12,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,36.0,8.75,315.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000515/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/515/itens/2/resultados,1,1,Informado,2025-08-14T09:04:10,2025-08-14T09:04:10,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,PJ,3,Demais,,,BRA,300.0,4.02,1206.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000519/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/519/itens/1/resultados,1,1,Informado,2025-08-14T09:06:15,2025-08-14T09:06:15,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,50.0,10.15,507.5,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000519/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/519/itens/2/resultados,1,1,Informado,2025-08-14T09:02:50,2025-08-14T09:02:50,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,200.0,8.15,1630.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000519/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/519/itens/5/resultados,1,1,Informado,2025-08-14T09:02:51,2025-08-14T09:02:51,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,200.0,7.05,1410.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000519/2025,7,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/519/itens/7/resultados,1,1,Informado,2025-08-14T09:05:46,2025-08-14T09:05:46,45357178000122,MARIA E FERREIRA,PJ,2,EPP,,,BRA,20.0,10.33,206.6,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000522/2025,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/522/itens/3/resultados,1,1,Informado,2025-08-16T09:05:42,2025-08-16T09:05:42,12420164003687,CM HOSPITALAR S.A.,PJ,3,Demais,,,BRA,4900.0,1.93,9457.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000544/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/544/itens/5/resultados,1,1,Informado,2025-08-26T09:03:49,2025-08-26T09:03:49,18459628009767,BAYER S.A.,PJ,3,Demais,,,BRA,23400.0,33.59,786006.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
