numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
87612743000109-1-000127/2025,6,https://pncp.gov.br/api/pncp/v1/orgaos/87612743000109/compras/2025/127/itens/6/resultados,1,1,Informado,2025-09-08T07:57:21,2025-09-08T07:57:21,42188256000114,ODIMED COMERCIO VAREJISTA DE PRODUTOS DE HIGIENE E LIMPEZA LTDA,PJ,1,ME,,,BRA,516.0,24.0,12384.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
87612743000109-1-000125/2025,7,https://pncp.gov.br/api/pncp/v1/orgaos/87612743000109/compras/2025/125/itens/7/resultados,1,1,Informado,2025-08-21T18:01:49,2025-08-21T18:01:49,41671448000114,ATACAREJO TIO JULICO LTDA,PJ,1,ME,,,BRA,150.0,38.26,5739.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
19471503000173-1-000006/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/19471503000173/compras/2025/6/itens/2/resultados,1,1,Informado,2025-07-18T10:20:19,2025-07-18T10:20:19,10783653000148,D TROMBETA EPP,PJ,1,ME,,,BRA,30.0,2.7,81.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
92406180000124-1-000092/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/92406180000124/compras/2025/92/itens/2/resultados,1,1,Informado,2025-08-08T17:30:47,2025-08-08T17:30:47,27403752000150,KAPRICHO DISTRIBUIDORA LTDA,PJ,2,EPP,,,BRA,55.0,43.5,2392.5,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
92406180000124-1-000092/2025,3,https://pncp.gov.br/api/pncp/v1/orgaos/92406180000124/compras/2025/92/itens/3/resultados,1,1,Informado,2025-08-08T17:30:58,2025-08-08T17:30:58,42188256000114,ODIMED COMÉRCIO VAREJISTA DE PRODUTOS DE HIGIENE E LIMPEZA,PJ,2,EPP,,,BRA,330.0,40.55,13381.5,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
08778268000160-1-000574/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/574/itens/1/resultados,1,1,Informado,2025-09-03T09:04:27,2025-09-03T09:04:27,08674752000140,CIRURGICA MONTEBELLO LTDA,PJ,3,Demais,,,BRA,1600.0,7.63,12208.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000574/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/574/itens/2/resultados,1,1,Informado,2025-09-03T09:04:27,2025-09-03T09:04:27,08778201000126,DROGAFONTE LTDA,PJ,3,Demais,,,BRA,33200.0,3.96,131472.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000574/2025,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/574/itens/3/resultados,1,1,Informado,2025-09-03T09:04:28,2025-09-03T09:04:28,08778201000126,DROGAFONTE LTDA,PJ,3,Demais,,,BRA,800.0,3.56,2848.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000574/2025,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/574/itens/4/resultados,1,1,Informado,2025-09-03T09:04:28,2025-09-03T09:04:28,08674752000140,CIRURGICA MONTEBELLO LTDA,PJ,3,Demais,,,BRA,2500.0,0.61,1525.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000574/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/574/itens/5/resultados,1,1,Informado,2025-09-03T09:04:28,2025-09-03T09:04:28,12420164003687,CM HOSPITALAR S.A.,PJ,3,Demais,,,BRA,2450.0,6.35,15557.5,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
