data.numeroControlePNCP,data.srp
04214217000155-1-000098/2024,TRUE
13913363000160-1-000178/2024,TRUE
15126437000143-1-003906/2024,TRUE
46523270000188-1-000163/2024,TRUE
11266377000103-1-000001/2024,TRUE
27150556000110-1-000152/2024,TRUE
14787731000133-1-000027/2024,TRUE
15126437000143-1-003625/2024,TRUE
46634457000159-1-000214/2024,TRUE
42498600000171-1-007922/2024,TRUE
46578514000120-1-000081/2024,TRUE
76002641000147-1-000413/2024,TRUE
45226214000119-1-000581/2024,TRUE
00394452000103-1-020950/2024,TRUE
18313817000185-1-000001/2025,FALSE
18313817000185-1-000402/2024,FALSE
82951351000142-1-000568/2024,TRUE
13927801000149-1-000189/2024,FALSE
42498600000171-1-007190/2024,TRUE
08597121000174-1-001516/2024,TRUE
22981427000150-1-000017/2024,TRUE
84013408000198-1-000003/2025,TRUE
84013408000198-1-000004/2025,TRUE
08761140000194-1-000207/2024,TRUE
84013408000198-1-000006/2025,TRUE
18602102000142-1-000003/2025,FALSE
58200015000183-1-000617/2024,TRUE
18307439000127-1-000047/2024,TRUE
58200015000183-1-000615/2024,TRUE
44959021000104-1-000128/2024,TRUE
13743760000130-1-000156/2024,TRUE
87252045000131-1-000754/2024,TRUE
46374500000194-1-010961/2024,FALSE
17893567000137-1-000034/2024,FALSE
46137410000180-1-000011/2025,TRUE
58200015000183-1-000616/2024,TRUE
46374500000194-1-009818/2024,TRUE
13843842000157-1-000322/2024,TRUE
46374500000194-1-008720/2024,TRUE
46596151000155-1-002162/2024,TRUE
27150556000110-1-000060/2024,FALSE
15126437000143-1-003613/2024,TRUE
18114223000145-1-000033/2024,FALSE
60448040000122-1-000624/2024,TRUE
08782146000148-1-000005/2025,FALSE
46374500000194-1-010188/2024,FALSE
01612376000110-1-000009/2024,TRUE
03643856000173-1-000009/2024,FALSE
01612376000110-1-000006/2024,TRUE
03930106000182-1-000271/2024,TRUE
06750525000120-1-000092/2024,TRUE
90152240000102-1-000008/2025,TRUE
46523239000147-1-000796/2024,FALSE
63025530000104-1-003232/2024,TRUE
13797600000174-1-000004/2024,TRUE
42498733000148-1-001571/2024,TRUE
11256088000123-1-000001/2025,TRUE
07954480000179-1-022636/2024,TRUE
75771477000170-1-000586/2024,FALSE
11370658000101-1-000018/2024,TRUE
05054861000176-1-001262/2024,TRUE
13761697000165-1-000189/2024,FALSE
27165554000103-1-000002/2025,TRUE
17749904000117-1-000139/2024,TRUE
02073207000111-1-000011/2024,TRUE
94436342000100-1-000002/2025,TRUE
10648539000105-1-000219/2024,TRUE
46522967000134-1-000242/2024,TRUE
46137428000181-1-000114/2024,TRUE
18715508000131-1-000232/2024,FALSE
78113834000109-1-000001/2025,FALSE
01611137000145-1-000076/2024,TRUE
08308470000129-1-000001/2025,TRUE
05211356000198-1-000028/2024,TRUE
46634564000187-1-001460/2024,TRUE
08888950000106-1-000001/2025,TRUE
08931495000184-1-000002/2025,FALSE
82985003000196-1-000216/2024,FALSE
18691766000125-1-000162/2024,TRUE
19876424000142-1-000150/2024,TRUE
07664821000171-1-000009/2024,TRUE
87958658000199-1-000035/2025,FALSE
82985003000196-1-000223/2024,FALSE
46374500000194-1-000040/2025,FALSE
13785670000102-1-000005/2024,FALSE
09341233000122-1-000233/2024,TRUE
15126437000143-1-003340/2024,TRUE
00394544000185-1-002403/2024,TRUE
18803072000132-1-000005/2024,TRUE
18803072000132-1-000004/2024,TRUE
13785670000102-1-000007/2024,FALSE
10439192000190-1-000013/2024,FALSE
13937032000160-1-002015/2024,FALSE
08597121000174-1-001521/2024,TRUE
07954480000179-1-023913/2024,TRUE
08597121000174-1-001522/2024,TRUE
08761140000194-1-000210/2024,TRUE
08761124000100-1-000804/2024,TRUE
08761140000194-1-000144/2024,TRUE
08761124000100-1-000973/2024,TRUE
13128798001094-1-000004/2025,TRUE
67995027000132-1-000418/2024,FALSE
49576416000141-1-000265/2024,TRUE
08761140000194-1-000211/2024,TRUE
03518900000113-1-000018/2024,TRUE
15126437000143-1-003891/2024,TRUE
76170240000104-1-000486/2024,FALSE
01567601000143-1-000300/2024,TRUE
45358249000101-1-001191/2024,TRUE
18428839000190-1-000451/2024,TRUE
18431312001006-1-000354/2024,TRUE
07954480000179-1-022628/2024,TRUE
46374500000194-1-011029/2024,FALSE
18428839000190-1-000434/2024,TRUE
06003891000116-1-000001/2025,TRUE
46410866000171-1-001104/2024,TRUE
07954480000179-1-022843/2024,TRUE
46374500000194-1-009791/2024,FALSE
08782146000148-1-000008/2025,FALSE
04696490000163-1-000250/2024,FALSE
88814199000132-1-000103/2024,TRUE
46374500000194-1-010522/2024,FALSE
74704636000150-1-000040/2024,FALSE
46374500000194-1-010510/2024,FALSE
46374500000194-1-010795/2024,FALSE
21461546000110-1-000115/2024,TRUE
57740490000180-1-000091/2024,TRUE
11144137000136-1-000067/2024,TRUE
75475442000193-1-000073/2024,TRUE
42498600000171-1-008076/2024,FALSE
07954480000179-1-022560/2024,TRUE
42498600000171-1-007662/2024,TRUE
18401018000160-1-000094/2024,TRUE
44239770000167-1-000002/2024,FALSE
75475442000193-1-000070/2024,TRUE
46374500000194-1-009779/2024,FALSE
46374500000194-1-007170/2024,FALSE
46374500000194-1-009611/2024,FALSE
46374500000194-1-007894/2024,FALSE
82815481000158-1-000001/2025,TRUE
46374500000194-1-003125/2024,FALSE
46374500000194-1-006526/2024,FALSE
87958625000149-1-000108/2024,TRUE
46374500000194-1-006711/2024,FALSE
46374500000194-1-006879/2024,FALSE
46374500000194-1-007297/2024,FALSE
46374500000194-1-007559/2024,FALSE
18666172000164-1-000032/2024,TRUE
46374500000194-1-009408/2024,FALSE
12225546000120-1-000076/2024,TRUE
46374500000194-1-010159/2024,TRUE
10907425000132-1-000021/2024,TRUE
08158198000148-1-000098/2024,TRUE
26938926000116-1-000163/2024,TRUE
42498600000171-1-008273/2024,FALSE
83009886000161-1-000119/2024,TRUE
45370707000128-1-000364/2024,TRUE
46374500000194-1-009562/2024,FALSE
46638714000120-1-000169/2024,TRUE
42498600000171-1-008351/2024,FALSE
08095283000104-1-000002/2025,TRUE
14830853000165-1-000079/2024,TRUE
88696810000175-1-000001/2025,TRUE
46374500000194-1-011211/2024,FALSE
46374500000194-1-011212/2024,FALSE
06307102000130-1-000164/2024,TRUE
01612634000168-1-000013/2024,FALSE
01612634000168-1-000017/2024,FALSE
01612619000110-1-000002/2024,TRUE
00394452000103-1-022371/2024,TRUE
08109444000171-1-000178/2024,TRUE
08241754000145-1-000028/2024,TRUE
08241754000145-1-000031/2024,TRUE
24851511000185-1-000435/2024,FALSE
46522967000134-1-000246/2024,TRUE
03930106000182-1-000023/2025,TRUE
15126437000143-1-003782/2024,TRUE
42498600000171-1-007730/2024,FALSE
46523239000147-1-000925/2024,FALSE
98661366000106-1-000576/2024,TRUE
15126437000143-1-003811/2024,TRUE
13906409000113-1-000091/2024,TRUE
18338202000103-1-000034/2024,TRUE
18313817000185-1-000405/2024,FALSE
46374500000194-1-011152/2024,FALSE
46374500000194-1-011118/2024,FALSE
46374500000194-1-011117/2024,FALSE
46374500000194-1-011150/2024,FALSE
46374500000194-1-011073/2024,FALSE
46374500000194-1-010967/2024,FALSE
46374500000194-1-010964/2024,FALSE
46374500000194-1-011116/2024,FALSE
46374500000194-1-010974/2024,FALSE
46374500000194-1-011030/2024,FALSE
46374500000194-1-010969/2024,FALSE
57740490000180-1-000092/2024,TRUE
01612636000157-1-000001/2025,FALSE
07954480000179-1-019435/2024,TRUE
15126437000143-1-003023/2024,TRUE
00394700000108-1-000450/2024,TRUE
12200176000176-1-000404/2024,TRUE
00394700000108-1-000448/2024,TRUE
07954480000179-1-020976/2024,TRUE
88084942000146-1-000005/2025,TRUE
00394700000108-1-000417/2024,TRUE
01612525000140-1-000051/2024,TRUE
13937032000160-1-001894/2024,FALSE
13937032000160-1-001854/2024,FALSE
13937032000160-1-001857/2024,FALSE
13937032000160-1-002054/2024,FALSE
13937032000160-1-002081/2024,FALSE
13937032000160-1-002139/2024,FALSE
13937032000160-1-002191/2024,FALSE
46373445000118-1-000380/2024,TRUE
76205715000142-1-000233/2024,FALSE
18602086000198-1-000020/2024,TRUE
76206499000150-1-000294/2024,FALSE
11320964000133-1-000049/2024,TRUE
01612538000110-1-000001/2025,FALSE
00394429000100-1-002917/2024,TRUE
45787660000100-1-000083/2024,FALSE
46151718000180-1-000406/2024,TRUE
63025530000104-1-002782/2024,TRUE
46523270000188-1-000426/2024,TRUE
07276220000191-1-000038/2024,FALSE
03930106000182-1-000274/2024,TRUE
11809185000104-1-000051/2024,TRUE
11809185000104-1-000034/2024,TRUE
75845511000103-1-000001/2025,TRUE
46634168000150-1-000210/2024,TRUE
60448040000122-1-000191/2024,TRUE
60448040000122-1-000636/2024,TRUE
01612509000158-1-000531/2024,FALSE
03930106000182-1-000279/2024,TRUE
01071994000108-1-000001/2025,FALSE
42498600000171-1-000095/2025,FALSE
15126437000143-1-003681/2024,TRUE
01612509000158-1-000541/2024,TRUE
60747318000162-1-000750/2024,FALSE
46374500000194-1-011179/2024,FALSE
05802877000110-1-000032/2024,TRUE
05802877000110-1-000037/2024,TRUE
75967760000171-1-000111/2024,TRUE
05054929000117-1-000003/2025,TRUE
01612556000100-1-000002/2025,FALSE
76105550000137-1-000110/2024,TRUE
46634291000170-1-001365/2024,TRUE
15126437000143-1-003839/2024,TRUE
46634291000170-1-001364/2024,TRUE
08919425000100-1-000013/2025,FALSE
