numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
08778268000160-1-001174/2024,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1174/itens/1/resultados,1,1,Informado,2025-03-07T09:07:26,2025-03-07T09:07:26,49324221000104,FRESENIUS KABI BRASIL LTDA,PJ,3,Demais,,,BRA,120.0,227.5,27300.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001174/2024,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1174/itens/2/resultados,1,1,Informado,2025-03-07T09:07:29,2025-03-07T09:07:29,49324221000104,FRESENIUS KABI BRASIL LTDA,PJ,3,Demais,,,BRA,600.0,255.0,153000.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001174/2024,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1174/itens/3/resultados,1,1,Informado,2025-03-07T09:07:34,2025-03-07T09:07:34,49324221000104,FRESENIUS KABI BRASIL LTDA,PJ,3,Demais,,,BRA,120.0,254.0,30480.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-001174/2024,4,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/1174/itens/4/resultados,1,1,Informado,2025-03-07T09:07:38,2025-03-07T09:07:38,49324221000104,FRESENIUS KABI BRASIL LTDA,PJ,3,Demais,,,BRA,360.0,16.9,6084.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000053/2025,2,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/53/itens/2/resultados,1,1,Informado,2025-03-08T09:05:58,2025-03-08T09:05:58,48214791000189,ANIMALFORCE MEDICAMENTOS,PJ,1,ME,,,BRA,8.0,853.44,6827.52,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000054/2025,1,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/54/itens/1/resultados,1,1,Informado,2025-03-08T09:06:18,2025-03-08T09:06:18,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,96.0,6.1,585.6,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000055/2025,3,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/55/itens/3/resultados,1,1,Informado,2025-03-08T09:07:17,2025-03-08T09:07:17,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,200.0,9.85,1970.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000055/2025,5,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/55/itens/5/resultados,1,1,Informado,2025-03-08T09:07:24,2025-03-08T09:07:24,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,600.0,8.44,5064.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000055/2025,6,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/55/itens/6/resultados,1,1,Informado,2025-03-08T09:07:26,2025-03-08T09:07:26,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,300.0,11.43,3429.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000055/2025,8,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/55/itens/8/resultados,1,1,Informado,2025-03-08T09:07:32,2025-03-08T09:07:32,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,400.0,1.18,472.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
08778268000160-1-000055/2025,9,https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2025/55/itens/9/resultados,1,1,Informado,2025-03-08T09:07:35,2025-03-08T09:07:35,07187827000103,J. J. DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP,PJ,2,EPP,,,BRA,200.0,1.15,230.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
