codigo_pdm,nome_pdm,codigo_br,nome_item
17825,Tenecteplase,448766,"448766 - Tenecteplase, Concentração:40 MG, Forma Farmaceutica:Pó Liófilo P/ Injetável, Caracteristica Adicional:Seringa Preenchida"
17850,Cetilpiridínio Cloreto,618532,"618532 - Cetilpiridínio Cloreto, Concentração:1,34 MG"
17850,Cetilpiridínio Cloreto,465072,"465072 - Cetilpiridínio Cloreto, Concentração:0,2 MG/ML, Forma Farmacêutica:Colutório, Características Adicionais:Formulação Especialmente Manipulada"
17850,Cetilpiridínio Cloreto,430105,"430105 - Cetilpiridínio Cloreto, Concentração:0,5 MG/ML, Forma Farmacêutica:Solução Bucal"
17850,Cetilpiridínio Cloreto,399095,"399095 - Cetilpiridínio Cloreto, Composição:Associado Ao Fluoreto De Sódio, Concentração:0,5 Mg + 0,5 MG/ML, Forma Farmacêutica:Solução Bucal"
17885,Esomeprazol,460948,"460948 - Esomeprazol, Concentração:40 MG, Características Adicionais:Liberação Prolongada"
17885,Esomeprazol,460947,"460947 - Esomeprazol, Concentração:20 MG, Características Adicionais:Liberação Prolongada"
17885,Esomeprazol,354515,"354515 - Esomeprazol, Composição:Sal Sódico, Concentração:40 MG, Forma Farmacêutica:Pó Liófilo P/ Injetável"
17885,Esomeprazol,274187,"274187 - Esomeprazol, Composição:Sal Magnésico, Concentração:40 MG"
17885,Esomeprazol,274186,"274186 - Esomeprazol, Composição:Sal Magnésico, Concentração:20 MG"
17886,Glicosamina,394237,"394237 - Glicosamina, Composição:Associada Com Condroitina, Em Sais Sulfatos, Concentração:1,5 G + 1,2 G, Forma Farmacêutica:Pó Oral"
17886,Glicosamina,322441,"322441 - Glicosamina, Concentração:500 Mg"
17886,Glicosamina,309530,"309530 - Glicosamina, Concentração:1,5 G, Forma Farmacêutica:Pó Oral"
17886,Glicosamina,274227,"274227 - Glicosamina, Composição:Associada Com Condroitina, Em Sais Sulfatos, Concentração:500mg + 400mg"
17886,Glicosamina,401526,"401526 - Glicosamina, Composição:Em Sal Sulfato, Concentração:300 Mg, Característica Adicional:Especialmente Manipulado"
17886,Glicosamina,392306,"392306 - Glicosamina, Concentração:750 Mg, Característica Adicional:Especialmente Manipulado"
17891,Amifostina,274425,"274425 - Amifostina, Concentração:500 MG, Apresentação:Injetável"
17893,Valsartana,473678,"473678 - Valsartana, Composição:Associado Ao Perindopril Arginina, Concentração:14 Mg + 10 MG"
17893,Valsartana,445432,"445432 - Valsartana, Composição:Associado Ao Sacubitril, Concentração:103 Mg + 97 MG"
17893,Valsartana,445431,"445431 - Valsartana, Composição:Associado Ao Sacubitril, Concentração:26 Mg + 24 MG"
17893,Valsartana,445430,"445430 - Valsartana, Composição:Associado Ao Sacubitril, Concentração:51 Mg + 49 MG"
17893,Valsartana,437003,"437003 - Valsartana, Composição:Associado À Hidroclorotiazida, Anlodipino Besilato, Concentração:160 Mg + 12,5 Mg + 10 MG"
17893,Valsartana,433548,"433548 - Valsartana, Composição:Associado À Hidroclorotiazida, Anlodipino Besilato, Concentração:320 Mg + 25 Mg + 10 MG"
17893,Valsartana,396559,"396559 - Valsartana, Composição:Associado À Hidroclorotiazida, Anlodipino Besilato, Concentração:160 Mg + 25 Mg + 10 MG"
17893,Valsartana,396558,"396558 - Valsartana, Composição:Associado À Hidroclorotiazida, Anlodipino Besilato, Concentração:160 Mg + 25 Mg + 5 MG"
17893,Valsartana,396557,"396557 - Valsartana, Composição:Associado À Hidroclorotiazida, Anlodipino Besilato, Concentração:160 Mg + 12,5 Mg + 5 MG"
17893,Valsartana,396556,"396556 - Valsartana, Composição:Associado À Hidroclorotiazida, Anlodipino Besilato, Concentração:80 Mg + 12,5 Mg + 5 MG"
17893,Valsartana,395910,"395910 - Valsartana, Composição:Associado À Hidroclorotiazida, Concentração:320 Mg + 12,5 MG"
17893,Valsartana,395162,"395162 - Valsartana, Composição:Associado À Hidroclorotiazida, Concentração:320 Mg + 25 MG"
17893,Valsartana,376357,"376357 - Valsartana, Concentração:40 MG"
17893,Valsartana,370525,"370525 - Valsartana, Composição:Associado À Hidroclorotiazida, Concentração:160 Mg + 25 MG"
17893,Valsartana,306146,"306146 - Valsartana, Concentração:320 MG"
17893,Valsartana,306145,"306145 - Valsartana, Concentração:160 MG"
17893,Valsartana,292791,"292791 - Valsartana, Composição:Associado À Hidroclorotiazida, Concentração:160 Mg + 12,5 MG"
17893,Valsartana,292790,"292790 - Valsartana, Composição:Associado À Hidroclorotiazida, Concentração:80 Mg + 12,5 MG"
17893,Valsartana,274438,"274438 - Valsartana, Dosagem:80 MG"
17897,Dobesilato De Cálcio,434714,"434714 - Dobesilato De Cálcio, Concentração:500 MG"
17897,Dobesilato De Cálcio,287644,"287644 - Dobesilato De Cálcio, Composição:Associado C/ Lidocaína Cloridrato E Prednisolona, Concentração:40mg + 4mg + 1 MG/G, Forma Farmacêutica:Pomada"
17898,Dextrometorfano,396748,"396748 - Dextrometorfano, Composição:Em Sal Bromidrato, Associado À Guaifenesina, Concentração:1,30 Mg + 13,30 MG/ML, Forma Farmacêutica:Xarope"
17898,Dextrometorfano,338606,"338606 - Dextrometorfano, Composição:Assoc. À Doxilamina,Cetilpiridínio E Citrato Sódio, Concentração:1 Mg + 0,6 Mg + 0,25 Mg + 50 MG/ML, Forma Farmacêutica:Xarope"
17898,Dextrometorfano,294219,"294219 - Dextrometorfano, Composição:Associado À Benzocaína E Cetilpiridínio, Concentração:0,4 Mg + 3,65 Mg + 1 MG"
17900,Butambeno,327076,"327076 - Butambeno, Composição:Sal Picrato, Concentração:10 MG/G, Forma Farmacêutica:Ungüento"
17901,Cefaclor Monoidrato,385423,"385423 - Cefaclor Monoidrato, Concentração:75 MG/ML, Forma Farmaceutica:Suspensão Oral"
17901,Cefaclor Monoidrato,326789,"326789 - Cefaclor Monoidrato, Dosagem:500 MG"
17901,Cefaclor Monoidrato,326788,"326788 - Cefaclor Monoidrato, Dosagem:250 MG"
17901,Cefaclor Monoidrato,274502,"274502 - Cefaclor Monoidrato, Dosagem:50 MG/ML, Apresentação:Suspensão Oral"
17901,Cefaclor Monoidrato,434937,"434937 - Cefaclor Monoidrato, Concentração:750 MG"
17904,Fluocortolona,274538,"274538 - Fluocortolona, Composição:C/Cinchocaína Cloridrato+Undecilenato De Clemizol, Concentração:0,15% + 0,5% + 1%, Apresentação:Pomada"
17906,Tropicamida,413570,"413570 - Tropicamida, Composição:Sal Cloridrato, Concentração:5 MG/ML, Forma Farmaceutica:Solução Oftálmica, Característica Adicional:Formulação Especialmente Manipulada"
17906,Tropicamida,274561,"274561 - Tropicamida, Dosagem:1%, Apresentação:Solução Oftálmica"
17908,Betaxolol Cloridrato,411744,"411744 - Betaxolol Cloridrato, Concentraçao:2,5 MG/ML, Forma Farmaceutica:Suspensão Oftálmica"
17908,Betaxolol Cloridrato,284435,"284435 - Betaxolol Cloridrato, Concentração:0,5%, Apresentação:Solução Oftálmica"
17908,Betaxolol Cloridrato,274577,"274577 - Betaxolol Cloridrato, Concentração:0,25%, Apresentação:Solução Oftálmica"
17910,Frutose,275403,"275403 - Frutose, Concentração:5%, Apresentação:Solução Injetável, Característica Adicional:Sistema Fechado"
17918,Fulvestranto,448707,"448707 - Fulvestranto, Dosagem:50 MG/ML, Forma Farmacêutica:Solução Injetável, Características Adicionais 1:Seringa Preenchida"
17915,Cloreto De Cálcio,363564,"363564 - Cloreto De Cálcio, Concentração:100 MG/ML, Forma Farmacêutica:Solução Injetável, Característica Adicional:Medicamento Especialmente Manipulado"
17915,Cloreto De Cálcio,274839,"274839 - Cloreto De Cálcio, Concentração:50mg/Ml, Uso:Injetável"
