codigo_item,caracteristicas_ocds
628716,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aciclovir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG/ML""}]"
438418,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aciclovir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG/ML""}]"
268375,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Creme""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aciclovir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG/G""}]"
268374,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aciclovir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""250 MG""}]"
268373,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Pomada Oftálmica""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aciclovir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""30 MG/G""}]"
268372,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aciclovir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG""}]"
268370,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aciclovir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
365543,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzilpenicilina; Benzatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""150000 UI/ML""}]"
365542,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzilpenicilina; Benzatina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""300000 UI/ML""}]"
270617,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzilpenicilina; Benzilpenicilina Potássica""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""10000000 UI""}]"
270616,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzilpenicilina; Benzilpenicilina Potássica""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5000000 UI""}]"
270615,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzilpenicilina; Benzilpenicilina Potássica""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""1000000 UI""}]"
270614,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Benzilpenicilina; Benzilpenicilina Potássica, Penicilina Procainada""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100000 UI + 300000 UI""}]"
